学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,FE13001,分子構造解析," 3.0",A+,A+,A+,A,2025,通常
,,FE13133,無機・分析化学専門実験," 4.0",-,A,A,A,2025,通常
,,FE13231,物理化学IV," 3.0",-,-,A+,A,2025,通常
,,FE13262,物理化学演習III," 1.0",-,-,A,A,2025,通常
,,FE13311,有機化学IV," 3.0",-,-,A,A,2025,通常
,,FE13313,有機化学専門実験," 4.0",-,-,A+,A,2025,通常
,,FE13621,無機元素化学," 2.0",-,A+,A+,A,2025,通常
,,FE13101,無機化学II," 3.0",-,-,A,A,2025,通常
,,FE13221,物理化学III," 3.0",-,-,A,A,2025,通常
,,FE13242,物理化学演習I," 1.0",-,-,A,A,2025,通常
,,FE13273,物理化学専門実験," 4.0",-,-,A,A,2025,通常
,,FE13301,有機化学III," 3.0",-,-,A+,A,2025,通常
,,FE13611,放射化学," 1.0",-,-,A+,A,2025,通常
,,FE13711,先端化学外書講読," 1.0",-,-,A,A,2025,通常
,,FE14021,計算化学," 1.0",-,-,A,A,2025,通常
,,FE14181,物理化学特論III," 1.0",-,-,A+,A,2025,集中
,,HB21141,行動生理学の基礎," 1.0",-,-,A,C0,2025,通常
,,2241213,応用体育フラッグフットボール(秋)," 0.5",-,-,A,C,2024,通常
,,FE12163,化学実験II," 2.0",-,-,A,A,2024,通常
,,FE12201,無機化学I," 3.0",A,A+,A+,A,2024,通常
,,FE12301,分析化学," 3.0",B,A,A,A,2024,通常
,,FE12401,物理化学I," 3.0",-,-,A,A,2024,通常
,,FE12411,物理化学II," 3.0",-,A+,A+,A,2024,通常
,,FE12611,有機化学II," 3.0",-,-,A+,A,2024,通常
,,FE12701,生物化学," 3.0",A+,A+,A+,A,2024,通常
,,FE12801,基礎化学外書講読," 3.0",A+,A+,A+,A,2024,通常
,,2241203,応用体育フラッグフットボール(春)," 0.5",-,-,A,C,2024,通常
,,FE12143,化学実験," 1.0",-,-,A,A,2024,通常
,,FE12601,有機化学I," 3.0",-,-,A,A,2024,通常
,,1401011,卒業生による業界探訪," 1.0",-,-,A,C,2023,通常
,,2137153,基礎体育ハンドボール(秋)," 0.5",-,-,A,C,2023,通常
,,31KC042,English Reading Skills II," 1.0",-,-,A+,C,2023,通常
,,31LC042,English Presentation Skills II," 1.0",-,-,A,C,2023,通常
,,33K3012,基礎フランス語AII," 1.0",-,-,A,C,2023,通常
,,33L3012,基礎フランス語BII," 1.0",-,-,A+,C,2023,通常
,,6514102,データサイエンス," 2.0",-,-,A,C,2023,通常
,,AB50C11,考古学・民俗学入門," 1.0",-,-,A+,C0,2023,通常
,,BC50111,国際学I," 1.0",-,-,B,C0,2023,通常
,,EE11161,地球環境学2," 1.0",-,-,C,B,2023,通常
,,FBA1521,微積分II," 1.0",-,-,A+,B,2023,通常
,,FBA1641,線形代数II," 1.0",-,-,A+,B,2023,通常
,,FBA1822,微積分演習F," 1.0",-,-,A+,B,2023,通常
,,FBA1862,線形代数演習F," 1.0",-,-,A+,B,2023,通常
,,FCB1311,電磁気学1," 1.0",-,-,A,B,2023,通常
,,FE11022,化学基礎セミナー," 1.0",-,-,A,B,2023,通常
,,FE11181,化学2," 1.0",-,-,A+,B,2023,通常
,,FE11191,化学3," 1.0",-,-,A+,B,2023,通常
,,HB21161,放射線と生命―人体への影響と医療への貢献―," 1.0",-,-,A,C0,2023,通常
,,HB21221,医科分子生物学," 2.0",-,-,C,C0,2023,通常
,,1114202,ファーストイヤーセミナー," 1.0",-,-,P,C,2023,通常
,,1227421,学問への誘い," 1.0",-,-,P,C,2023,通常
,,2158143,基礎体育アスレティックトレーニング（春）," 0.5",-,-,A+,C,2023,通常
,,2857343,ポタツーリング," 0.5",-,-,A+,C,2023,集中
,,31HC042,English Reading Skills I," 1.0",-,-,A,C,2023,通常
,,31JC042,English Presentation Skills I," 1.0",-,-,A,C,2023,通常
,,33H3012,基礎フランス語AI," 1.0",-,-,A,C,2023,通常
,,33J3012,基礎フランス語BI," 1.0",-,-,A+,C,2023,通常
,,6114101,情報リテラシー(講義)," 1.0",-,-,B,C,2023,通常
,,6414102,情報リテラシー(演習)," 1.0",-,-,B,C,2023,通常
,,AB70A11,日本史概説I-a," 1.0",-,-,D,C0,2023,通常
,,EE11151,地球環境学1," 1.0",-,-,A,B,2023,通常
,,EE11251,地球進化学1," 1.0",-,-,A,B,2023,通常
,,FA01191,数学リテラシー1," 1.0",-,-,B,C0,2023,通常
,,FA01291,数学リテラシー2," 1.0",-,-,A+,C0,2023,通常
,,FBA1451,数学概論," 1.0",-,-,P,B,2023,通常
,,FBA1481,微積分I," 1.0",-,-,A+,B,2023,通常
,,FBA1601,線形代数I," 1.0",-,-,B,B,2023,通常
,,FBA1742,微積分演習S," 1.0",-,-,A+,B,2023,通常
,,FBA1782,線形代数演習S," 1.0",-,-,A+,B,2023,通常
,,FCB1201,力学1," 1.0",-,-,A+,B,2023,通常
,,FCB1251,力学2," 1.0",-,-,A+,B,2023,通常
,,FCB1401,物理学概論," 1.0",-,-,P,B,2023,通常
,,FE11161,化学概論," 1.0",-,-,P,B,2023,通常
,,FE11171,化学1," 1.0",-,-,A+,B,2023,通常
