"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"","","9455021","中等理科教育論II"," 2.0","-","-","A+","C0","2025","集中"
"","","9604121","教育課程編成論"," 1.0","-","-","A","D","2025","集中"
"","","9801441","生徒指導"," 1.0","-","-","履修中","D","2025","集中"
"","","9801621","教育相談の実際"," 1.0","-","-","A","D","2025","通常"
"","","9802511","進路指導・キャリア教育"," 1.0","-","-","履修中","D","2025","集中"
"","","EE22801","水土環境動態論"," 1.0","-","-","B","B","2025","通常"
"","","EE22841","環境動態解析学"," 1.0","-","-","B","B","2025","通常"
"","","FE12371","応用分析化学"," 1.0","-","-","履修中","A","2025","通常"
"","","FE13001","分子構造解析"," 3.0","D","履修中","履修中","A","2025","通常"
"","","FE13133","無機・分析化学専門実験"," 4.0","-","B","B","A","2025","通常"
"","","FE13231","物理化学IV"," 3.0","-","-","履修中","A","2025","通常"
"","","FE13311","有機化学IV"," 3.0","-","-","履修中","A","2025","通常"
"","","FE13313","有機化学専門実験"," 4.0","-","-","履修中","A","2025","通常"
"","","FE13621","無機元素化学"," 2.0","-","履修中","履修中","A","2025","通常"
"","","FE14051","生物分子化学"," 1.0","-","-","B","A","2025","通常"
"","","9605311","教育の方法と技術"," 1.0","-","-","A","D","2025","集中"
"","","9607141","情報通信技術を活用した教育の理論と方法"," 1.0","-","-","A","D","2025","集中"
"","","9801521","教育相談の基礎"," 1.0","-","-","B","D","2025","通常"
"","","FE13101","無機化学II"," 3.0","-","-","D","A","2025","通常"
"","","FE13221","物理化学III"," 3.0","-","-","D","A","2025","通常"
"","","FE13242","物理化学演習I"," 1.0","-","-","C","A","2025","通常"
"","","FE13273","物理化学専門実験"," 4.0","-","-","B","A","2025","通常"
"","","FE13301","有機化学III"," 3.0","-","-","C","A","2025","通常"
"","","FE13611","放射化学"," 1.0","-","-","C","A","2025","通常"
"","","FE13711","先端化学外書講読"," 1.0","-","-","D","A","2025","通常"
"","","2215253","応用体育柔道(秋)"," 0.5","-","-","A+","C","2024","通常"
"","","9303011","道徳教育II"," 1.0","-","-","A+","D","2024","集中"
"","","9454211","理科教育概論IB"," 1.0","-","-","A+","C0","2024","通常"
"","","9455011","中等理科教育論I"," 2.0","-","-","A","C0","2024","集中"
"","","9456011","中学校理科教育論"," 1.0","-","-","A","C0","2024","集中"
"","","9457031","中学校理科教育実践論"," 1.0","-","-","A","C0","2024","集中"
"","","9606211","特別支援教育"," 1.0","-","-","A","D","2024","通常"
"","","9705001","特別活動の理論と実践"," 1.0","-","-","A","D","2024","集中"
"","","9807311","総合的な学習の時間の指導法"," 1.0","-","-","A","D","2024","集中"
"","","FCB1743","物理学実験"," 1.0","-","-","B","B","2024","通常"
"","","FE12163","化学実験II"," 2.0","-","-","B","A","2024","通常"
"","","FE12201","無機化学I"," 3.0","A","B","B","A","2024","通常"
"","","FE12301","分析化学"," 3.0","D","B","D","A","2024","通常"
"","","FE12401","物理化学I"," 3.0","-","-","B","A","2024","通常"
"","","FE12411","物理化学II"," 3.0","-","C","C","A","2024","通常"
"","","FE12611","有機化学II"," 3.0","-","-","B","A","2024","通常"
"","","FE12701","生物化学"," 3.0","A+","A+","A+","A","2024","通常"
"","","FE12801","基礎化学外書講読"," 3.0","A+","D","B","A","2024","通常"
"","","2215243","応用体育柔道(春)"," 0.5","-","-","B","C","2024","通常"
"","","9303001","道徳教育I"," 1.0","-","-","A","D","2024","集中"
"","","9454111","理科教育概論IA"," 1.0","-","-","A","C0","2024","通常"
"","","9606111","特別支援教育"," 1.0","-","-","D","D","2024","通常"
"","","BB00201","日本国憲法"," 2.0","-","-","B","C0","2024","通常"
"","","EB00003","生物学実験"," 1.0","-","-","C","C0","2024","通常"
"","","EE00001","地学序説"," 1.0","-","-","C","B","2024","通常"
"","","EE11333","地学実験"," 1.0","-","-","B","B","2024","通常"
"","","FE12143","化学実験"," 1.0","-","-","B","A","2024","通常"
"","","FE12601","有機化学I"," 3.0","-","-","C","A","2024","通常"
"","","2145133","基礎体育野外運動(秋)"," 0.5","-","-","B","C","2023","通常"
"","","31KC042","English Reading Skills II"," 1.0","-","-","A","C","2023","通常"
"","","31LC042","English Presentation Skills II"," 1.0","-","-","B","C","2023","通常"
"","","6514102","データサイエンス"," 2.0","-","-","A","C","2023","通常"
"","","9004001","介護等体験の意義"," 1.0","-","-","A","D","2023","集中"
"","","9100221","学習の心理"," 1.0","-","-","C","D","2023","通常"
"","","9200121","現代教育と教育理念"," 1.0","-","-","B","D","2023","通常"
"","","9200421","教育の法と制度"," 1.0","-","-","B","D","2023","通常"
"","","9200521","学校経営概説"," 1.0","-","-","B","D","2023","通常"
"","","9803311","教職論II"," 1.0","-","-","A+","D","2023","通常"
"","","EE11161","地球環境学2"," 1.0","-","-","C","B","2023","通常"
"","","EE11261","地球進化学2"," 1.0","-","-","C","B","2023","通常"
"","","FBA1521","微積分II"," 1.0","-","-","B","B","2023","通常"
"","","FBA1561","微積分III"," 1.0","-","-","C","B","2023","通常"
"","","FBA1641","線形代数II"," 1.0","-","-","B","B","2023","通常"
"","","FBA1681","線形代数III"," 1.0","-","-","B","B","2023","通常"
"","","FBA1822","微積分演習F"," 1.0","-","-","A","B","2023","通常"
"","","FBA1862","線形代数演習F"," 1.0","-","-","B","B","2023","通常"
"","","FCB1271","力学3"," 1.0","-","-","B","B","2023","通常"
"","","FCB1311","電磁気学1"," 1.0","-","-","C","B","2023","通常"
"","","FCB1341","電磁気学2"," 1.0","-","-","B","B","2023","通常"
