学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,1290181,Inclusive Smart Society 概論Ⅰ," 1.0",-,-,履修中,C,2025,通常
,,GB13322,情報特別演習II," 2.0",-,-,履修中,A,2025,通常
,,GB26503,ソフトウェアサイエンス実験B," 3.0",-,-,履修中,A,2025,通常
,,GB30601,ソフトウェア工学," 2.0",-,-,履修中,A,2025,通常
,,GB31611,データベース概論B," 1.0",-,-,履修中,A,2025,通常
,,GB42201,画像メディア工学," 2.0",-,-,履修中,A,2025,通常
,,GB13614,Computer Science in English A," 2.0",-,-,A+,B,2025,通常
,,GB20501,プログラム理論," 1.0",-,-,A,A,2025,通常
,,GB22621,情報可視化," 2.0",-,-,A+,A,2025,通常
,,GB26403,ソフトウェアサイエンス実験A," 3.0",-,-,A,A,2025,通常
,,GB30311,データベース概論A," 2.0",-,-,A+,A,2025,通常
,,GB31111,並列処理アーキテクチャI," 1.0",-,-,A,A,2025,通常
,,GB40301,ヒューマンインタフェース," 2.0",-,-,A+,A,2025,通常
,,GB40501,機械学習," 2.0",-,-,A+,A,2025,通常
,,GB41511,音声聴覚情報処理," 1.0",-,-,A,A,2025,通常
,,GB42301,画像認識工学," 2.0",-,-,B,A,2025,通常
,,GB47001,知能情報メディア特別講義A," 1.0",-,-,B,A,2025,集中
,,2241233,応用体育フラッグフットボール(秋)," 0.5",-,-,B,C,2024,通常
,,GB11621,統計学," 2.0",-,-,A,B,2024,通常
,,GB11931,データ構造とアルゴリズム," 3.0",-,-,A+,B,2024,通常
,,GB11966,データ構造とアルゴリズム実験," 2.0",-,-,A,B,2024,通常
,,GB12017,論理回路演習," 2.0",-,-,A,B,2024,通常
,,GB13024,オブジェクト指向プログラミング," 2.0",-,-,A+,B,2024,通常
,,GB19061,専門英語基礎," 1.0",-,-,A+,B,2024,通常
,,GB20201,数理アルゴリズムとシミュレーション," 2.0",-,-,B,A,2024,通常
,,GB20301,人工知能," 2.0",-,-,A+,A,2024,通常
,,GB27001,ソフトウェアサイエンス特別講義A," 1.0",-,-,A,A,2024,集中
,,HB21231,スポーツ医学とは?フロントランナーに聞いてみよう!!," 1.0",-,-,B,C0,2024,通常
,,2241223,応用体育フラッグフットボール(春)," 0.5",-,-,B,C,2024,通常
,,GB10244,線形代数B," 2.0",-,-,A,B,2024,通常
,,GB10454,微分積分B," 2.0",-,-,A+,B,2024,通常
,,GB10804,論理回路," 2.0",-,-,A+,B,2024,通常
,,GB11964,コンピュータとプログラミング," 3.0",-,-,C,B,2024,通常
,,GB12301,数値計算法," 2.0",-,-,A,B,2024,通常
,,GB12601,論理と形式化," 2.0",-,-,A,B,2024,通常
,,GB12801,論理システム," 1.0",-,-,A+,B,2024,通常
,,GB21201,プログラム言語論," 1.0",-,-,B,A,2024,通常
,,GB22031,システム数理III," 1.0",-,-,A+,A,2024,通常
,,GB30101,コンピュータネットワーク," 2.0",-,-,A,A,2024,通常
,,GB31401,システムプログラム," 2.0",-,-,B,A,2024,通常
,,W160541,スポーツ企業ビジネス論," 1.0",-,-,A+,C0,2024,集中
