学籍番号,学生氏名,科目番号,科目名 ,単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,FG10784,複素解析,2,-,-,A,B,2025,通常
,,FG23381,研究・開発原論,2,-,-,A,A,2025,通常
,,FG23471,情報通信システム論II,1,-,-,A+,A,2025,集中
,,FG24301,知的情報処理,2,-,-,A,A,2025,通常
,,FG24371,画像処理,2,-,-,B,A,2025,通常
,,FG24741,メカトロニクス機能要素概論,2,-,-,C,A,2025,通常
,,FG25374,応用プログラミング,2,-,-,履修中,A,2025,通常
,,FG25391,機械学習A,1,-,-,履修中,A,2025,通常
,,FG29213,知的・機能工学システム実験,6,-,-,履修中,A,2025,通常
,,2314283,発展体育シューティングスポーツ(春),1,-,-,A+,C,2025,通常
,,FG10744,解析学総論,1,-,-,B,B,2025,通常
,,FG10911,熱力学基礎,1,-,-,A+,B,2025,通常
,,FG20232,専門英語演習,1,-,-,履修中,A,2025,通常
,,FG21311,フィードバック制御,2,-,-,B,A,2025,通常
,,FG23411,情報通信システム論I,1,-,-,A+,A,2025,集中
,,FG24381,ヒューマンインタフェース,2,-,-,A+,A,2025,通常
,,FG24391,人工知能,2,-,-,B,A,2025,通常
,,FG24711,データ構造とアルゴリズム,2,-,-,A+,A,2025,通常
,,2235273,応用体育バドミントン(秋),0.5,-,-,A,C,2024,通常
,,FA01831,線形代数3,1,-,-,A+,B,2024,通常
,,FCB1381,電磁気学3,1,-,-,A,B,2024,通常
,,FG10724,線形代数総論B,2,-,-,B,B,2024,通常
,,FG10784,複素解析,2,-,-,D,B,2024,通常
,,FG17011,電気回路,2,-,-,C,A,2024,通常
,,FG17061,応用数学A,2,B,-,B,A,2024,通常
,,FG19113,工学システム基礎実験B,2,-,-,A+,A,2024,通常
,,FG20204,プログラミング序論C,2,-,-,A+,A,2024,通常
,,FG20214,プログラミング序論D,1,-,-,A+,A,2024,通常
,,FG20222,専門英語B,1,-,-,B,A,2024,通常
,,FG24221,論理回路,2,-,-,A+,A,2024,通常
,,FG24491,コンピュータとネットワーク,2,-,-,A+,A,2024,通常
,,2235263,応用体育バドミントン(春),0.5,-,-,A,C,2024,通常
,,FA01141,数学リテラシー1,1,-,-,A+,B,2024,通常
,,FA01641,線形代数1,1,-,-,A+,B,2024,通常
,,FG10651,工学システム原論,1,-,-,A,B,2024,通常
,,FG10704,線形代数総論A,1,-,-,B,B,2024,通常
,,FG10744,解析学総論,1,-,-,D,B,2024,通常
,,FG10764,常微分方程式,2,-,-,C,B,2024,通常
,,FG10814,力学総論,1,-,-,A,B,2024,通常
,,FG10834,電磁気学総論,1,-,-,C,B,2024,通常
,,FG10851,流体力学基礎,1,-,-,B,B,2024,通常
,,FG10864,材料力学基礎,1,-,-,A+,B,2024,通常
,,FG10874,プログラミング序論A,2,-,-,A+,B,2024,通常
,,FG10904,プログラミング序論B,1,-,-,A+,B,2024,通常
,,FG10911,熱力学基礎,1,-,-,D,B,2024,通常
,,FG12021,材料学基礎,1,-,-,A,A,2024,通常
,,FG16051,工学システム概論,1,-,-,A,C,2024,通常
,,FG18112,専門英語A,1,-,-,B,A,2024,通常
,,FG19103,工学システム基礎実験A,2,-,-,A,A,2024,通常
,,GC27701,ACPC連携講座: ライブ・コンテンツ論,2,-,-,B,C,2024,通常
,,1420024,デジタルクリエイティブ（デザイン）,1,-,-,A,C,2023,通常
,,1420034,デジタルクリエイティブ（動画）,1,-,-,A,C,2023,通常
,,2140173,基礎体育フィットネストレーニング(秋),0.5,-,-,B,C,2023,通常
,,31KA072,English Reading Skills II,1,-,-,A,C,2023,通常
,,31LA072,English Presentation Skills II,1,-,-,A+,C,2023,通常
,,6516202,データサイエンス,2,-,-,A,C,2023,通常
,,FA01441,微積分2,1,-,-,B,B,2023,通常
,,FA01541,微積分3,1,-,-,B,B,2023,通常
,,FA01741,線形代数2,1,-,-,B,B,2023,通常
,,FA01841,線形代数3,1,-,-,D,B,2023,通常
,,FCB1291,力学3,1,-,-,A,B,2023,通常
,,FCB1321,電磁気学1,1,-,-,A,B,2023,通常
,,FCB1361,電磁気学2,1,-,-,A,B,2023,通常
,,FCB1381,電磁気学3,1,-,-,D,B,2023,通常
,,FE11281,化学2,1,-,-,A,C,2023,通常
,,FH61141,社会と最適化,1,-,-,A,C,2023,通常
,,HB21231,スポーツ医学とは?フロントランナーに聞いてみよう!!,1,-,-,B,C,2023,通常
,,HC33011,精神看護学概論,1,-,-,C,C,2023,通常
,,1116402,ファーストイヤーセミナー,1,-,-,P,C,2023,通常
,,1226181,ダイバーシティ&インクルージョン入門,1,-,-,A+,C,2023,通常
,,1227501,学問への誘い,1,-,-,P,C,2023,通常
,,1420014,デジタルクリエイティブ基礎,1,-,-,A,C,2023,通常
,,2125143,基礎体育テニス(春),0.5,-,-,A,C,2023,通常
,,31HA072,English Reading Skills I,1,-,-,C,C,2023,通常
,,31JA072,English Presentation Skills I,1,-,-,C,C,2023,通常
,,6116201,情報リテラシー(講義),1,-,-,B,C,2023,通常
,,6416202,情報リテラシー(演習),1,-,-,B,C,2023,通常
,,BC50121,国際学II,1,-,-,A+,C,2023,通常
,,FA01141,数学リテラシー1,1,-,-,D,B,2023,通常
,,FA01241,数学リテラシー2,1,-,-,A,B,2023,通常
,,FA01341,微積分1,1,-,-,C,B,2023,通常
,,FA01641,線形代数1,1,-,-,D,B,2023,通常
,,FBA1451,数学概論,1,-,-,P,C,2023,通常
,,FCB1201,力学1,1,-,-,B,B,2023,通常
,,FCB1241,力学2,1,-,-,B,B,2023,通常
,,FH61111,経済学の数理,1,-,-,C,C,2023,通常
,,GA12401,情報科学概論,1,-,-,A,C,2023,通常
,,YAL1012,グラフィックツール基礎演習,1,-,-,B,C,2023,通常
