学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,2600283,合気道," 0.5",-,-,履修中,C,2025,集中
,,FG10724,線形代数総論B," 2.0",履修中,履修中,履修中,B,2025,通常
,,FG19113,工学システム基礎実験B," 2.0",-,-,履修中,A,2025,通常
,,FG41641,機械設計," 2.0",-,-,履修中,A,2025,通常
,,FG43811,設計計画論," 1.0",-,-,B,A,2025,通常
,,FG45434,構造力学I," 2.0",-,-,履修中,A,2025,通常
,,FG45721,構造力学II," 2.0",-,-,D,A,2025,通常
,,FG45791,鉄筋コンクリート構造学," 1.0",-,-,A,A,2025,通常
,,FG45801,鋼構造学," 1.0",-,-,A,A,2025,通常
,,FG45831,地盤工学," 1.0",-,-,A,A,2025,通常
,,FG45901,建築設備," 2.0",-,-,履修中,A,2025,通常
,,FG49883,エネルギー・メカニクス応用実験," 3.0",-,-,履修中,A,2025,通常
,,FH45051,建築関連法規," 1.0",-,-,B,C,2025,集中
,,FH45061,建築経済," 1.0",-,-,B,C,2025,集中
,,FH45071,建築生産," 1.0",-,-,A,C,2025,集中
,,FH46031,空間デザイン論," 2.0",-,-,A,C,2025,通常
,,YBQ5021,構造計画," 2.0",-,-,履修中,C,2025,通常
,,2603283,インラインスケート," 0.5",-,-,A,C,2025,集中
,,FG10704,線形代数総論A," 1.0",-,-,A,B,2025,通常
,,FG40232,専門英語演習," 1.0",-,-,履修中,A,2025,通常
,,FG42251,コンクリート工学," 2.0",-,-,A,A,2025,通常
,,FG42621,複合材料学," 2.0",-,-,B,A,2025,通常
,,FG45451,土質力学," 2.0",-,-,B,A,2025,通常
,,FG45876,建築設計製図I," 3.0",-,-,B,A,2025,通常
,,FG49873,エネルギー・メカニクス専門実験," 3.0",-,-,B,A,2025,通常
,,FH46051,現代まちづくり論," 2.0",-,-,B,C,2025,通常
,,YBQ0411,世界建築史," 2.0",-,-,B,C,2025,通常
,,2221233,応用体育ソフトボール(秋)," 0.5",-,-,B,C,2024,通常
,,AC56051,文化科学領域比較文化研究," 1.0",-,-,D,C,2024,通常
,,FG10724,線形代数総論B," 2.0",-,-,D,B,2024,通常
,,FG10784,複素解析," 2.0",-,-,C,B,2024,通常
,,FG17061,応用数学A," 2.0",D,-,C,A,2024,通常
,,FG19113,工学システム基礎実験B," 2.0",-,-,D,A,2024,通常
,,FG40222,専門英語B," 1.0",-,-,C,A,2024,通常
,,FG40354,数値計算法," 3.0",-,-,C,A,2024,通常
,,FG45564,応用材料力学I," 1.0",-,-,B,A,2024,通常
,,FG45604,応用材料力学II," 2.0",-,-,A+,A,2024,通常
,,FG45611,振動工学," 3.0",-,-,C,A,2024,通常
,,1224014,COOL型未来開拓科目," 1.0",-,-,D,C,2024,集中
,,2221223,応用体育ソフトボール(春)," 0.5",-,-,A,C,2024,通常
,,FG10651,工学システム原論," 1.0",-,-,B,B,2024,通常
,,FG10704,線形代数総論A," 1.0",-,-,D,B,2024,通常
,,FG10744,解析学総論," 1.0",-,-,A,B,2024,通常
,,FG10764,常微分方程式," 2.0",-,-,B,B,2024,通常
,,FG10814,力学総論," 1.0",-,-,B,B,2024,通常
,,FG10834,電磁気学総論," 1.0",-,-,C,B,2024,通常
,,FG10851,流体力学基礎," 1.0",-,-,C,B,2024,通常
,,FG10864,材料力学基礎," 1.0",-,-,B,B,2024,通常
,,FG10874,プログラミング序論A," 2.0",-,-,A,B,2024,通常
,,FG10904,プログラミング序論B," 1.0",-,-,A,B,2024,通常
,,FG10911,熱力学基礎," 1.0",-,-,B,B,2024,通常
,,FG16051,工学システム概論," 1.0",-,-,B,C,2024,通常
,,FG17031,確率統計," 2.0",-,-,B,A,2024,通常
,,FG18112,専門英語A," 1.0",-,-,B,A,2024,通常
,,FG19103,工学システム基礎実験A," 2.0",-,-,C,A,2024,通常
,,HB21141,行動生理学の基礎," 1.0",-,-,A,C,2024,通常
,,2116153,基礎体育ジョグ&ウォーク(秋)," 0.5",-,-,A,C,2023,通常
,,31KA112,English Reading Skills II," 1.0",-,-,B,C,2023,通常
,,31LA112,English Presentation Skills II," 1.0",-,-,A,C,2023,通常
,,6516202,データサイエンス," 2.0",-,-,B,C,2023,通常
,,FA01441,微積分2," 1.0",-,-,B,B,2023,通常
,,FA01541,微積分3," 1.0",-,-,B,B,2023,通常
,,FA01741,線形代数2," 1.0",-,-,A+,B,2023,通常
,,FA01841,線形代数3," 1.0",-,-,C,B,2023,通常
,,FCB1291,力学3," 1.0",-,-,A+,B,2023,通常
,,FCB1321,電磁気学1," 1.0",-,-,A+,B,2023,通常
,,FCB1361,電磁気学2," 1.0",-,-,B,B,2023,通常
,,FCB1381,電磁気学3," 1.0",-,-,A+,B,2023,通常
,,FG16011,宇宙工学," 1.0",-,-,C,A,2023,通常
,,GA13501,コンテンツ入門," 2.0",-,-,A+,C,2023,通常
,,HE35071,医療科学概論," 1.0",-,-,C,C,2023,通常
,,W160511,スポーツの技術を自然科学から考える," 1.0",-,-,C,C,2023,通常
,,1116302,ファーストイヤーセミナー," 1.0",-,-,P,C,2023,通常
,,1226041,みんなで創ろう「つくばアクションプロジェクト」," 1.0",-,-,C,C,2023,通常
,,1227491,学問への誘い," 1.0",-,-,P,C,2023,通常
,,2113123,基礎体育サッカー(春)," 0.5",-,-,A,C,2023,通常
,,31HA112,English Reading Skills I," 1.0",-,-,B,C,2023,通常
,,31JA112,English Presentation Skills I," 1.0",-,-,B,C,2023,通常
,,37H1012,基礎韓国語AI," 1.0",-,-,B,C,2023,通常
,,37J1012,基礎韓国語BI," 1.0",-,-,C,C,2023,通常
,,6116201,情報リテラシー(講義)," 1.0",-,-,C,C,2023,通常
,,6416202,情報リテラシー(演習)," 1.0",-,-,B,C,2023,通常
,,8050011,ポスト・アントロポセン," 1.0",-,-,B,C,2023,通常
,,BC50121,国際学II," 1.0",-,-,A,C,2023,通常
,,CA10051,障害科学I," 2.0",-,-,A,C,2023,通常
,,FA01141,数学リテラシー1," 1.0",-,-,B,B,2023,通常
,,FA01241,数学リテラシー2," 1.0",-,-,A+,B,2023,通常
,,FA01341,微積分1," 1.0",-,-,C,B,2023,通常
,,FA01641,線形代数1," 1.0",-,-,A,B,2023,通常
,,FCB1201,力学1," 1.0",-,-,A+,B,2023,通常
,,FCB1241,力学2," 1.0",-,-,A+,B,2023,通常
,,FCB1401,物理学概論," 1.0",-,-,P,C,2023,通常
,,GA14111,知識情報概論," 1.0",-,-,A,C,2023,通常
