"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"","","2322293","発展体育卓球(秋)"," 0.5","-","-","A+","C","2025","通常"
"","","FG21331","信頼性工学"," 2.0","-","-","履修中","A","2025","通常"
"","","FG24284","数値解析"," 2.0","-","-","A","A","2025","通常"
"","","FG29213","知的・機能工学システム実験"," 6.0","-","-","履修中","A","2025","通常"
"","","FG50354","数値計算法"," 3.0","-","-","履修中","A","2025","通常"
"","","GA12301","システムと情報科学"," 1.0","-","-","A+","C","2025","通常"
"","","2322283","発展体育卓球(春)"," 0.5","-","-","A+","C","2025","通常"
"","","FG20232","専門英語演習"," 1.0","-","-","履修中","A","2025","通常"
"","","FG21311","フィードバック制御"," 2.0","-","-","A","A","2025","通常"
"","","FG21321","線形システム制御"," 2.0","-","-","A+","A","2025","通常"
"","","FG23411","情報通信システム論I"," 1.0","-","-","A","A","2025","集中"
"","","FG24381","ヒューマンインタフェース"," 2.0","-","-","A","A","2025","通常"
"","","FG24391","人工知能"," 2.0","-","-","A+","A","2025","通常"
"","","FG24481","通信工学"," 2.0","-","-","B","A","2025","通常"
"","","FG24711","データ構造とアルゴリズム"," 2.0","-","-","A","A","2025","通常"
"","","2222253","応用体育卓球(秋)"," 0.5","-","-","A","C","2024","通常"
"","","FG10724","線形代数総論B"," 2.0","-","-","B","B","2024","通常"
"","","FG10784","複素解析"," 2.0","-","-","A+","B","2024","通常"
"","","FG17011","電気回路"," 2.0","-","-","A+","A","2024","通常"
"","","FG17061","応用数学A"," 2.0","A+","-","A+","A","2024","通常"
"","","FG19113","工学システム基礎実験B"," 2.0","-","-","A","A","2024","通常"
"","","FG20204","プログラミング序論C"," 2.0","-","-","A+","A","2024","通常"
"","","FG20214","プログラミング序論D"," 1.0","-","-","A","A","2024","通常"
"","","FG20222","専門英語B"," 1.0","-","-","A+","A","2024","通常"
"","","FG22291","メカトロニクス機構解析"," 2.0","-","-","A+","A","2024","通常"
"","","FG24221","論理回路"," 2.0","-","-","A+","A","2024","通常"
"","","FG31261","機械設計"," 2.0","-","-","A+","A","2024","通常"
"","","FG34491","コンピュータとネットワーク"," 2.0","-","-","A+","A","2024","通常"
"","","2222243","応用体育卓球(春)"," 0.5","-","-","A","C","2024","通常"
"","","FG10651","工学システム原論"," 1.0","-","-","B","B","2024","通常"
"","","FG10704","線形代数総論A"," 1.0","-","-","A","B","2024","通常"
"","","FG10744","解析学総論"," 1.0","-","-","C","B","2024","通常"
"","","FG10764","常微分方程式"," 2.0","-","-","A","B","2024","通常"
"","","FG10814","力学総論"," 1.0","-","-","A+","B","2024","通常"
"","","FG10834","電磁気学総論"," 1.0","-","-","A","B","2024","通常"
"","","FG10851","流体力学基礎"," 1.0","-","-","A+","B","2024","通常"
"","","FG10864","材料力学基礎"," 1.0","-","-","A","B","2024","通常"
"","","FG10874","プログラミング序論A"," 2.0","-","-","A+","B","2024","通常"
"","","FG10904","プログラミング序論B"," 1.0","-","-","A+","B","2024","通常"
"","","FG10911","熱力学基礎"," 1.0","-","-","A+","B","2024","通常"
"","","FG12021","材料学基礎"," 1.0","-","-","A+","A","2024","通常"
"","","FG17031","確率統計"," 2.0","-","-","A","A","2024","通常"
"","","FG18102","専門英語A"," 1.0","-","-","B","A","2024","通常"
"","","FG19103","工学システム基礎実験A"," 2.0","-","-","A","A","2024","通常"
"","","2116153","基礎体育ジョグ&ウォーク(秋)"," 0.5","-","-","A+","C","2023","通常"
"","","31KA032","English Reading Skills II"," 1.0","-","-","A+","C","2023","通常"
"","","31LA032","English Presentation Skills II"," 1.0","-","-","C","C","2023","通常"
"","","6516102","データサイエンス"," 2.0","-","-","A+","C","2023","通常"
"","","8200303","つくばロボットコンテスト2023"," 1.0","-","-","A","C","2023","通常"
"","","8202104","コンテンツ表現工学"," 1.0","-","-","A","C","2023","通常"
"","","BC50111","国際学I"," 1.0","-","-","A+","C","2023","通常"
"","","FA01431","微積分2"," 1.0","-","-","A","B","2023","通常"
"","","FA01531","微積分3"," 1.0","-","-","B","B","2023","通常"
"","","FA01731","線形代数2"," 1.0","-","-","A+","B","2023","通常"
"","","FA01831","線形代数3"," 1.0","-","-","A+","B","2023","通常"
"","","FCB1291","力学3"," 1.0","-","-","A+","B","2023","通常"
"","","FCB1321","電磁気学1"," 1.0","-","-","A","B","2023","通常"
"","","FCB1361","電磁気学2"," 1.0","-","-","A+","B","2023","通常"
"","","FCB1381","電磁気学3"," 1.0","-","-","A+","B","2023","通常"
"","","FH61121","経済学の実証"," 1.0","-","-","A","C","2023","通常"
"","","GA14121","知識情報概論"," 1.0","-","-","A+","C","2023","通常"
"","","1116202","ファーストイヤーセミナー"," 1.0","-","-","P","C","2023","通常"
"","","1226041","みんなで創ろう「つくばアクションプロジェクト」"," 1.0","-","-","A","C","2023","通常"
"","","1226194","次世代起業家養成講座"," 1.0","-","-","B","C","2023","通常"
"","","1227481","学問への誘い"," 1.0","-","-","P","C","2023","通常"
"","","2122183","基礎体育卓球(春)"," 0.5","-","-","A","C","2023","通常"
"","","31HA032","English Reading Skills I"," 1.0","-","-","B","C","2023","通常"
"","","31JA032","English Presentation Skills I"," 1.0","-","-","A","C","2023","通常"
"","","37H1012","基礎韓国語AI"," 1.0","-","-","A","C","2023","通常"
"","","37J1012","基礎韓国語BI"," 1.0","-","-","A","C","2023","通常"
"","","6116101","情報リテラシー(講義)"," 1.0","-","-","A","C","2023","通常"
"","","6416102","情報リテラシー(演習)"," 1.0","-","-","A","C","2023","通常"
"","","FA01131","数学リテラシー1"," 1.0","-","-","A+","B","2023","通常"
"","","FA01231","数学リテラシー2"," 1.0","-","-","A+","B","2023","通常"
"","","FA01331","微積分1"," 1.0","-","-","A","B","2023","通常"
"","","FA01631","線形代数1"," 1.0","-","-","B","B","2023","通常"
"","","FBA1451","数学概論"," 1.0","-","-","P","C","2023","通常"
"","","FCB1201","力学1"," 1.0","-","-","A+","B","2023","通常"
"","","FCB1241","力学2"," 1.0","-","-","A+","B","2023","通常"
"","","FCB1401","物理学概論"," 1.0","-","-","P","C","2023","通常"
"","","FF17011","応用理工学概論"," 1.0","-","-","B","C","2023","通常"
"","","FG16043","コンテンツ工学システム"," 1.0","-","-","A+","A","2023","通常"
