"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"","","GE10201","哲学"," 2.0","-","-","履修中","B","2025","通常"
"","","GE40301","学校図書館メディアの構成"," 2.0","-","-","履修中","A","2025","通常"
"","","GE50812","専門英語C-1"," 1.0","-","-","履修中","A","2025","通常"
"","","GE60123","知識科学実習B"," 1.0","-","-","履修中","A","2025","通常"
"","","GE60601","知識形成論"," 2.0","-","-","履修中","A","2025","通常"
"","","GE61101","図書館建築論"," 2.0","-","-","履修中","A","2025","通常"
"","","GE61801","データ構造とアルゴリズム"," 2.0","-","-","履修中","A","2025","通常"
"","","GE62101","知識コミュニケーション"," 2.0","-","-","履修中","A","2025","通常"
"","","GE80901","コレクションとアクセス"," 2.0","-","-","履修中","A","2025","通常"
"","","GE81101","メディア教育の実践と評価"," 2.0","-","-","履修中","A","2025","通常"
"","","GE82601","パブリックガバナンス"," 2.0","-","-","履修中","A","2025","通常"
"","","GE40401","読書と豊かな人間性"," 2.0","-","-","A","A","2025","通常"
"","","GE50712","専門英語B-1"," 1.0","-","-","A","A","2025","通常"
"","","GE60113","知識科学実習A"," 1.0","-","-","A","A","2025","通常"
"","","GE60201","テクニカルコミュニケーション"," 2.0","-","-","B","A","2025","通常"
"","","GE60501","知識論"," 2.0","-","-","B","A","2025","通常"
"","","GE60801","学術メディア論"," 2.0","-","-","D","A","2025","通常"
"","","GE61301","情報評価"," 2.0","-","-","B","A","2025","通常"
"","","GE61901","情報検索システム"," 2.0","-","-","B","A","2025","通常"
"","","GE80501","情報サービス経営論"," 2.0","-","-","A+","A","2025","通常"
"","","GE82901","アーカイブズ資源"," 2.0","-","-","B","A","2025","通常"
"","","2233213","応用体育ニュースポーツ(秋)"," 0.5","-","-","A","C","2024","通常"
"","","GA10101","情報社会と法制度"," 2.0","-","-","B","B","2024","通常"
"","","GA10201","知的財産概論"," 2.0","-","-","C","B","2024","通常"
"","","GE10201","哲学"," 2.0","-","-","D","B","2024","通常"
"","","GE11122","知識情報演習II-2"," 2.0","B","B","B","B","2024","通常"
"","","GE11222","知識情報演習III-2"," 2.0","-","-","B","B","2024","通常"
"","","GE11742","専門英語A2"," 1.0","-","-","A","C","2024","通常"
"","","GE20801","情報行動論"," 2.0","-","-","B","B","2024","通常"
"","","GE20901","知識発見基礎論"," 2.0","-","-","B","B","2024","通常"
"","","GE21201","コンピュータシステムとネットワーク"," 2.0","-","-","C","B","2024","通常"
"","","GE22601","ユーザ研究実験法"," 2.0","-","-","B","B","2024","通常"
"","","YAX2021","芸術と文化"," 1.0","-","-","A","C","2024","通常"
