"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"","","GA40203","体験型システム開発B"," 3.0","-","-","履修中","A","2025","通常"
"","","GE50822","専門英語C-2"," 1.0","-","-","C","A","2025","通常"
"","","GE70123","知識情報システム実習B"," 1.0","-","-","A+","A","2025","通常"
"","","GE71801","データ構造とアルゴリズム"," 2.0","-","-","A","A","2025","通常"
"","","GE72601","Human-computer Interaction"," 2.0","-","-","履修中","A","2025","通常"
"","","GA40103","体験型システム開発A"," 3.0","-","-","A","A","2025","通常"
"","","GC27701","ACPC連携講座: ライブ・コンテンツ論"," 2.0","-","-","A+","C","2025","通常"
"","","GE50732","専門英語B-3"," 1.0","-","-","B","A","2025","通常"
"","","GE70113","知識情報システム実習A"," 1.0","-","-","A","A","2025","通常"
"","","GE70401","ディジタルライブラリ"," 2.0","-","-","A+","A","2025","通常"
"","","GE70501","情報検索システム"," 2.0","-","-","A","A","2025","通常"
"","","GE70701","マルチメディアシステム"," 2.0","-","-","A","A","2025","通常"
"","","GE71001","情報デザインとインタフェース"," 2.0","-","-","A+","A","2025","通常"
"","","GE71101","ヒューマンインタフェース"," 2.0","-","-","A","A","2025","通常"
"","","GE71901","マークアップ言語"," 2.0","-","-","A","A","2025","通常"
"","","GE72501","メディアアート"," 2.0","-","-","A","A","2025","通常"
"","","YAL1012","グラフィックツール基礎演習"," 1.0","-","-","A","C","2025","通常"
"","","2248273","応用体育リフレッシュ体操(秋)"," 0.5","-","-","A+","C","2024","通常"
"","","8202104","コンテンツ表現工学"," 1.0","-","-","B","C","2024","通常"
"","","GA40603","ビジネスシステムデザイン実践I"," 2.0","-","-","A+","A","2024","通常"
"","","GB32301","人工生命概論"," 1.0","-","-","A+","C","2024","通常"
"","","GC22101","Webプログラミング"," 2.0","-","-","A","C","2024","通常"
"","","GE10201","哲学"," 2.0","-","-","A+","B","2024","通常"
"","","GE11122","知識情報演習II-2"," 2.0","A","A","A","B","2024","通常"
"","","GE11222","知識情報演習III-2"," 2.0","-","-","A","B","2024","通常"
