"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"","","GC23304","CG基礎"," 2.0","-","-","履修中","B","2025","通常"
"","","GC23501","画像・映像情報処理"," 2.0","-","-","履修中","B","2025","通常"
"","","GC41203","情報メディア実験B"," 3.0","-","-","履修中","A","2025","通常"
"","","GC50501","通信ネットワーク"," 2.0","-","-","履修中","A","2025","通常"
"","","GC51101","音楽・音響情報処理"," 2.0","-","-","履修中","A","2025","通常"
"","","GC51701","実世界指向システム"," 2.0","-","-","履修中","A","2025","通常"
"","","GC53303","ディジタルコンテンツ表現実習"," 1.0","-","-","履修中","A","2025","通常"
"","","GC54904","アドバンストCG"," 2.0","-","-","履修中","A","2025","通常"
"","","GC55401","Human-computer Interaction"," 2.0","-","-","履修中","A","2025","通常"
"","","GB20602","プログラミングチャレンジ"," 2.0","-","-","D","C0","2025","通常"
"","","GB40301","ヒューマンインタフェース"," 2.0","-","-","C","C0","2025","通常"
"","","GC22201","プログラム言語論"," 2.0","-","-","A","B","2025","通常"
"","","GC41103","情報メディア実験A"," 3.0","-","-","A","A","2025","通常"
"","","GC51901","マークアップ言語"," 2.0","-","-","A","A","2025","通常"
"","","GC52001","データベースシステムI"," 2.0","-","-","C","A","2025","通常"
"","","GC52701","ソフトウェア構成"," 2.0","-","-","A","A","2025","通常"
"","","GC52801","情報デザインII"," 1.0","-","-","A","A","2025","通常"
"","","GC53701","システム数理I"," 1.0","-","-","A","A","2025","通常"
"","","GC53901","知識・自然言語処理"," 1.0","-","-","A","A","2025","通常"
"","","GC54091","情報可視化"," 2.0","-","-","D","A","2025","通常"
"","","GC54301","システム数理III"," 1.0","-","-","D","A","2025","通常"
"","","YBK0901","色彩学"," 1.0","-","-","A","C0","2025","通常"
"","","2240273","応用体育フィットネストレーニング(秋)"," 0.5","-","-","B","C","2024","通常"
"","","8320302","創造学群表現学類―OBOG指導によるクリエイティブ体験講座"," 2.0","-","-","A","C0","2024","通常"
"","","GA10101","情報社会と法制度"," 2.0","-","-","D","B","2024","通常"
"","","GA10201","知的財産概論"," 2.0","-","-","C","B","2024","通常"
"","","GC12401","データ構造とアルゴリズム"," 2.0","-","-","B","B","2024","通常"
"","","GC12403","データ構造とアルゴリズム実習"," 1.0","-","-","C","B","2024","通常"
"","","GC21601","情報数学C"," 2.0","-","-","D","B","2024","通常"
"","","GC22101","Webプログラミング"," 2.0","-","-","A","B","2024","通常"
"","","GC23201","情報理論"," 2.0","-","-","A","B","2024","通常"
"","","GC24101","情報デザインI"," 2.0","-","-","A","B","2024","通常"
"","","GC24501","コンテンツ流通基盤概論"," 2.0","-","-","C","B","2024","通常"
"","","YBJ1522","メディアアート・フィジカルコンピューティング"," 2.0","-","-","A","C0","2024","通常"
