学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,9450201,数学科教育概論II," 2.0",-,-,履修中,C,2025,通常
,,9801641,教育相談の実際," 1.0",-,-,A+,D,2025,通常
,,9802321,進路指導・キャリア教育," 1.0",-,-,C,D,2025,通常
,,FB13071,代数学IB," 3.0",-,-,履修中,A,2025,通常
,,FB13151,トポロジーB," 1.5",-,-,履修中,A,2025,通常
,,FB13511,数学外書輪講II," 2.0",A,A,A,A,2025,通常
,,FB13601,確率論II," 1.5",-,-,履修中,A,2025,通常
,,FB13611,数理論理学II," 1.5",-,-,履修中,A,2025,通常
,,FB13621,数理統計学II," 1.5",-,-,履修中,A,2025,通常
,,FB13631,計算機数学II," 1.5",-,-,履修中,A,2025,通常
,,FB13901,卒業予備研究," 3.0",-,-,履修中,A,2025,通常
,,9450101,数学科教育概論I," 1.0",-,-,A,C,2025,通常
,,9453001,数学科指導法," 1.0",-,-,A,C,2025,通常
,,9604201,教育課程編成論," 1.0",-,-,A,D,2025,通常
,,9605321,教育の方法と技術," 1.0",-,-,A,D,2025,集中
,,9606111,特別支援教育," 1.0",-,-,B,D,2025,通常
,,9607151,情報通信技術を活用した教育の理論と方法," 1.0",-,-,A,D,2025,集中
,,9801421,生徒指導," 1.0",-,-,A,D,2025,集中
,,9801521,教育相談の基礎," 1.0",-,-,A+,D,2025,通常
,,FB13061,代数学IA," 3.0",-,-,A,A,2025,通常
,,FB13141,トポロジーA," 1.5",-,-,A,A,2025,通常
,,FB13241,多様体入門," 1.5",-,-,D,A,2025,通常
,,FB13252,多様体入門演習," 1.5",-,-,C,A,2025,通常
,,FB13371,ルベーグ積分," 1.5",-,-,A,A,2025,通常
,,FB13382,ルベーグ積分演習," 1.5",-,-,B,A,2025,通常
,,FB13441,確率論I," 1.5",-,-,A,A,2025,通常
,,FB13451,数理論理学I," 1.5",-,-,A,A,2025,通常
,,FB13461,数理統計学I," 1.5",-,-,A,A,2025,通常
,,FB13471,計算機数学I," 1.5",-,-,A+,A,2025,通常
,,1221011,科学的根拠にもとづいた最新の健康教育," 1.0",-,-,C,C,2024,通常
,,2236233,応用体育バレーボール(秋)," 0.5",-,-,B,C,2024,通常
,,9702011,特別活動の理論と実践," 1.0",-,-,A,D,2024,通常
,,9807341,総合的な学習の時間の指導法," 1.0",-,-,A,D,2024,集中
,,FB12231,代数入門," 1.5",-,-,D,A,2024,通常
,,FB12242,代数入門演習," 1.5",-,-,A,A,2024,通常
,,FB12431,トポロジー入門," 1.5",-,-,C,A,2024,通常
,,FB12442,トポロジー入門演習," 1.5",-,-,C,A,2024,通常
,,FB12632,計算機演習," 1.5",-,-,A,A,2024,通常
,,FB12721,統計学," 1.5",-,-,D,A,2024,通常
,,FB12732,統計学演習," 1.5",-,-,B,A,2024,通常
,,FB12821,数学外書輪講I," 3.0",B,A+,A+,A,2024,通常
,,FB12901,関数論," 1.5",-,-,A+,A,2024,通常
,,FB12912,関数論演習," 1.5",-,-,A,A,2024,通常
,,FB12931,曲面論," 1.5",-,-,A+,A,2024,通常
,,FB12942,曲面論演習," 1.5",-,-,C,A,2024,通常
,,FB12951,数学類キャリアパスセミナー," 1.0",-,-,P,A,2024,通常
,,FH46031,空間デザイン論," 2.0",-,-,B,C,2024,通常
,,HB21201,形成外科学入門," 1.0",-,-,D,C,2024,通常
,,2236223,応用体育バレーボール(春)," 0.5",-,-,A,C,2024,通常
,,AB00311,哲学通論CI," 1.0",-,-,B,C,2024,通常
,,BB00201,日本国憲法," 2.0",-,-,A,C,2024,通常
,,CA10001,人間学I," 1.0",-,-,P,C,2024,通常
,,FB12071,ベクトル解析と幾何," 1.5",-,-,B,A,2024,通常
,,FB12082,ベクトル解析と幾何演習," 1.5",-,-,B,A,2024,通常
,,FB12131,線形代数続論," 1.5",-,-,B,A,2024,通常
,,FB12142,線形代数続論演習," 1.5",-,-,A+,A,2024,通常
,,FB12331,集合入門," 1.5",-,-,C,A,2024,通常
,,FB12342,集合入門演習," 1.5",-,-,A,A,2024,通常
,,FB12531,微分方程式入門," 1.5",-,-,B,A,2024,通常
,,FB12542,微分方程式入門演習," 1.5",-,-,A,A,2024,通常
,,2123153,基礎体育ダンス(秋)," 0.5",-,-,A,C,2023,通常
,,31KC102,English Reading Skills II," 1.0",-,-,A+,C,2023,通常
,,31LC102,English Presentation Skills II," 1.0",-,-,C,C,2023,通常
,,6512102,データサイエンス," 2.0",-,-,B,C,2023,通常
,,9100221,学習の心理," 1.0",-,-,B,D,2023,通常
,,9200121,現代教育と教育理念," 1.0",-,-,B,D,2023,通常
,,9200421,教育の法と制度," 1.0",-,-,A,D,2023,通常
,,9200521,学校経営概説," 1.0",-,-,A+,D,2023,通常
,,9803311,教職論II," 1.0",-,-,A+,D,2023,通常
,,EE11161,地球環境学2," 1.0",-,-,A,B,2023,通常
,,EE11261,地球進化学2," 1.0",-,-,B,B,2023,通常
