学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,9469101,保健体育科教育法概論II," 1.0",-,-,履修中,D,2025,通常
,,9485001,体育理論の授業づくり," 1.0",-,-,履修中,D,2025,通常
,,9488001,体育授業理論・実習II," 1.0",-,-,履修中,D,2025,通常
,,9489001,体育授業理論・実習III," 1.0",-,-,D,D,2025,通常
,,9605401,教育の方法と技術," 1.0",-,-,D,D,2025,通常
,,9705001,特別活動の理論と実践," 1.0",-,-,履修中,D,2025,集中
,,W140212,専門語学B(英語)," 2.0",A,D,D,A,2025,通常
,,W150141,レジャー論," 1.0",-,-,D,A,2025,通常
,,W150301,スポーツ医学II(内科系)," 1.0",-,-,D,A,2025,通常
,,W160011,スポーツ教育論," 1.0",-,-,履修中,A,2025,通常
,,W160081,指導者のための体力測定法," 1.0",-,-,D,A,2025,通常
,,W160121,保健科内容論," 1.0",-,-,履修中,A,2025,通常
,,W160181,健康づくり政策論," 1.0",-,-,履修中,A,2025,通常
,,W160261,アダプテッド・スポーツ教育," 1.0",-,-,D,A,2025,通常
,,W160311,スポーツタレント発掘論," 1.0",-,-,D,A,2025,通常
,,W160381,スポーツキャリア形成III," 1.0",-,-,D,A,2025,通常
,,W171022,種目別コーチング演習II," 2.0",-,-,履修中,A,2025,通常
,,W182062,運動生化学演習I," 2.0",A,履修中,履修中,A,2025,通常
,,W961325,バドミントン," 1.0",-,-,D,B,2025,通常
,,9470001,保健体育科教育法概論III," 1.0",-,-,C,D,2025,通常
,,9487001,体育授業理論・実習I," 1.0",-,-,C,D,2025,通常
,,9604501,教育課程編成論," 1.0",-,-,B,D,2025,通常
,,9606411,特別支援教育," 1.0",-,-,C,D,2025,通常
,,9607141,情報通信技術を活用した教育の理論と方法," 1.0",-,-,C,D,2025,集中
,,9801461,生徒指導," 1.0",-,-,A,D,2025,集中
,,9801551,教育相談の基礎," 1.0",-,-,B,D,2025,通常
,,9802521,進路指導・キャリア教育," 1.0",-,-,A,D,2025,通常
,,W150021,スポーツ倫理学," 1.0",-,-,D,A,2025,通常
,,W150091,メンタルトレーニングの原理と方法," 1.0",-,-,D,A,2025,通常
,,W150171,スポーツ技術論," 1.0",-,-,C,A,2025,通常
,,W150231,コンディショニングのスポーツ生化学," 1.0",-,-,C,A,2025,通常
,,W150271,運動栄養学II," 1.0",-,-,B,A,2025,通常
,,W150291,アンチ・ドーピング," 1.0",-,-,B,A,2025,通常
,,W150321,スポーツバイオメカニクスII," 1.0",-,-,A,A,2025,通常
,,W160231,スポーツ傷害の予防とリハビリテーション," 1.0",-,-,D,A,2025,通常
,,W182012,健康体力学共通演習," 2.0",-,-,A,A,2025,通常
,,9200151,現代教育と教育理念," 1.0",-,-,C,D,2024,集中
,,9200251,教育史概論," 1.0",-,-,A,D,2024,集中
,,9306031,道徳教育II," 1.0",-,-,C,D,2024,通常
,,9468101,保健体育科教育法概論I," 1.0",-,-,A,D,2024,通常
,,9469101,保健体育科教育法概論II," 1.0",-,-,D,D,2024,通常
,,9803351,教職論II," 1.0",-,-,B,D,2024,通常
,,9807351,総合的な学習の時間の指導法," 1.0",-,-,B,D,2024,集中
,,W150151,スポーツ政策学II," 1.0",-,-,D,A,2024,通常
,,W160011,スポーツ教育論," 1.0",-,-,D,A,2024,通常
,,W160181,健康づくり政策論," 1.0",-,-,D,A,2024,通常
,,W160321,スポーツ選手の栄養管理," 1.0",-,-,D,A,2024,通常
,,W160341,スポーツを通じた開発," 1.0",-,-,D,A,2024,通常
,,W171022,種目別コーチング演習II," 2.0",-,-,D,A,2024,通常
,,W816011,専門基礎共通演習," 1.0",-,-,C,B,2024,通常
,,W862702,体育・スポーツ専門英語基礎演習," 1.0",-,-,C,B,2024,通常
,,W870011,体育哲学," 1.0",-,-,C,B,2024,通常
,,W870021,体育史・スポーツ人類学," 2.0",-,-,D,B,2024,通常
,,W880021,運動学II," 1.0",-,-,D,B,2024,通常
,,W890071,体力学," 1.0",-,-,C,B,2024,通常
,,W890131,学校保健学I(小児保健及び学校安全を含む)," 1.0",-,-,B,B,2024,通常
,,W920435,器械運動," 1.0",-,-,C,B,2024,通常
,,W940735,バレーボール," 1.0",-,-,B,B,2024,通常
,,9306011,道徳教育I," 1.0",-,-,C,D,2024,通常
,,W810072,専門語学A," 1.0",-,-,D,B,2024,通常
,,W870031,武道学I," 1.0",-,-,A,B,2024,通常
,,W870051,体育・スポーツ経営学," 2.0",-,-,B,B,2024,通常
,,W870071,スポーツ産業学," 1.0",-,-,C,B,2024,通常
,,W870081,スポーツ政策学I," 1.0",-,-,D,B,2024,通常
,,W880011,運動学I," 1.0",-,-,D,B,2024,通常
,,W880031,一般コーチング学," 1.0",-,-,B,B,2024,通常
,,W880041,一般トレーニング学," 1.0",-,-,C,B,2024,通常
,,W890081,健康増進学," 1.0",-,-,C,B,2024,通常
,,W890101,スポーツ医学I(救急処置を含む)," 1.0",-,-,B,B,2024,通常
,,W890111,衛生・公衆衛生学," 1.0",-,-,A+,B,2024,通常
,,W890121,健康教育学(精神保健を含む)," 1.0",-,-,B,B,2024,通常
,,W900005,学校体育実技," 1.0",-,-,B,B,2024,通常
,,W951125,ラグビー," 1.0",-,-,B,B,2024,通常
,,W981915,臨海実習," 1.0",-,-,A,B,2024,通常
,,31KF062,English Reading Skills II," 1.0",-,-,D,C,2023,通常
,,31LF062,English Presentation Skills II," 1.0",-,-,C,C,2023,通常
,,5207021,国語II," 1.0",-,-,C,C,2023,通常
,,6520502,データサイエンス," 2.0",-,-,C,C,2023,通常
,,9100151,こころの発達," 1.0",-,-,B,D,2023,通常
,,9100251,学習の心理," 1.0",-,-,B,D,2023,通常
,,9200151,現代教育と教育理念," 1.0",-,-,D,D,2023,集中
,,9200441,教育の法と制度," 1.0",-,-,B,D,2023,通常
,,9200541,学校経営概説," 1.0",-,-,C,D,2023,通常
,,9803351,教職論II," 1.0",-,-,D,D,2023,通常
,,W160361,スポーツキャリア形成I," 1.0",-,-,B,A,2023,通常
,,W160371,スポーツキャリア形成II," 1.0",-,-,B,A,2023,通常
,,W171012,種目別コーチング演習I," 1.0",-,-,,A,2023,通常
