"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"","","9454211","理科教育概論IB"," 1.0","-","-","C","C","2025","通常"
"","","9455011","中等理科教育論I"," 2.0","-","-","履修中","C","2025","集中"
"","","9802511","進路指導・キャリア教育"," 1.0","-","-","履修中","D","2025","集中"
"","","9807311","総合的な学習の時間の指導法"," 1.0","-","-","A","D","2025","集中"
"","","FCC3144","量子力学III"," 3.0","-","-","履修中","A","2025","通常"
"","","FCC3164","統計力学II"," 3.0","-","-","履修中","A","2025","通常"
"","","FCC3655","科学英語II"," 2.0","-","-","A+","A","2025","通常"
"","","FCC3733","物理学実験II"," 6.0","A+","履修中","履修中","A","2025","通常"
"","","FCC3801","素粒子物理学概論"," 1.0","-","-","D","A","2025","通常"
"","","FCC3811","原子核物理学概論"," 1.0","-","-","履修中","A","2025","通常"
"","","FCC3821","宇宙物理学概論"," 1.0","-","-","A","A","2025","通常"
"","","FCC3831","物性物理学概論"," 1.0","-","-","A+","A","2025","通常"
"","","FCC3841","プラズマ物理学概論"," 1.0","-","-","D","A","2025","通常"
"","","FCC3851","生物物理学概論"," 1.0","-","-","履修中","A","2025","通常"
"","","GE40201","学習指導と学校図書館"," 2.0","-","-","A","C","2025","通常"
"","","9450101","数学科教育概論I"," 1.0","-","-","A","C","2025","通常"
"","","9453001","数学科指導法"," 1.0","-","-","B","C","2025","通常"
"","","9605311","教育の方法と技術"," 1.0","-","-","A","D","2025","集中"
"","","9801511","教育相談の基礎"," 1.0","-","-","A+","D","2025","集中"
"","","9801611","教育相談の実際"," 1.0","-","-","B","D","2025","集中"
"","","CB25021","生涯学習論"," 2.0","-","-","A","C","2025","集中"
"","","EE21141","人文地理学"," 1.0","-","-","B","B","2025","通常"
"","","EE21401","経済地域論"," 1.0","-","-","A","B","2025","通常"
"","","FCC3094","専門電磁気学III"," 2.0","-","-","B","A","2025","通常"
"","","FCC3134","量子力学II"," 3.0","-","-","C","A","2025","通常"
"","","FCC3154","統計力学I"," 3.0","-","-","A+","A","2025","通常"
"","","FCC3174","一般相対性理論"," 2.0","-","-","B","A","2025","通常"
"","","FCC3181","実験物理学III"," 1.0","-","-","B","A","2025","通常"
"","","FCC3525","計算物理学III"," 1.0","-","-","A+","A","2025","通常"
"","","GE81201","学校図書館論"," 2.0","-","-","C","C","2025","通常"
"","","2212213","応用体育ゴルフ(秋)"," 0.5","-","-","A+","C","2024","通常"
"","","9303011","道徳教育II"," 1.0","-","-","A","D","2024","集中"
"","","9451001","数学教育内容論"," 1.0","-","-","A+","C","2024","通常"
"","","9453101","数学教材論"," 2.0","-","-","A","C","2024","集中"
"","","9455021","中等理科教育論II"," 2.0","-","-","A","C","2024","集中"
"","","9456011","中学校理科教育論"," 1.0","-","-","A","C","2024","集中"
"","","9457031","中学校理科教育実践論"," 1.0","-","-","A","C","2024","集中"
"","","9604121","教育課程編成論"," 1.0","-","-","B","D","2024","集中"
"","","9606211","特別支援教育"," 1.0","-","-","A","D","2024","通常"
"","","9702011","特別活動の理論と実践"," 1.0","-","-","B","D","2024","通常"
"","","9807311","総合的な学習の時間の指導法"," 1.0","-","-","D","D","2024","集中"
"","","CE12301","障害者・障害児心理学"," 1.0","-","-","B","C","2024","通常"
"","","FB12231","代数入門"," 1.5","-","-","D","B","2024","通常"
"","","FB12431","トポロジー入門"," 1.5","-","-","D","B","2024","通常"
"","","FCC2244","量子力学I"," 3.0","-","-","B","A","2024","通常"
"","","FCC2345","計算物理学II"," 1.0","-","-","A","A","2024","通常"
"","","FCC2384","専門電磁気学II"," 2.0","-","-","C","A","2024","通常"
"","","FCC2403","科学英語I"," 1.0","-","-","A","A","2024","通常"
"","","FCC2414","熱物理学"," 2.0","-","-","C","A","2024","通常"
"","","FCC2454","物理数学II"," 3.0","-","-","C","A","2024","通常"
"","","FCC2531","特殊相対性理論"," 1.0","-","-","A","A","2024","通常"
"","","FCC2561","流体力学"," 1.0","-","-","B","A","2024","通常"
"","","FCC3111","実験物理学II"," 1.0","-","-","B","A","2024","通常"
"","","2212203","応用体育ゴルフ(春)"," 0.5","-","-","B","C","2024","通常"
"","","9303001","道徳教育I"," 1.0","-","-","A","D","2024","集中"
"","","9452001","数学授業研究"," 1.0","-","-","A","C","2024","集中"
"","","9454111","理科教育概論IA"," 1.0","-","-","C","C","2024","通常"
"","","9607151","情報通信技術を活用した教育の理論と方法"," 1.0","-","-","A+","D","2024","集中"
"","","9801451","生徒指導"," 1.0","-","-","A","D","2024","集中"
"","","EB00003","生物学実験"," 1.0","-","-","B","C","2024","通常"
"","","EE00001","地学序説"," 1.0","-","-","B","B","2024","通常"
"","","EE11333","地学実験"," 1.0","-","-","B","B","2024","通常"
"","","FB12131","線形代数続論"," 1.5","-","-","C","B","2024","通常"
"","","FCC2234","量子力学序論"," 2.0","-","-","C","A","2024","通常"
"","","FCC2235","計算物理学I"," 1.0","-","-","B","A","2024","通常"
"","","FCC2374","専門電磁気学I"," 2.0","-","-","A+","A","2024","通常"
"","","FCC2444","物理数学I"," 3.0","-","-","B","A","2024","通常"
"","","FCC2464","解析力学"," 2.0","-","-","B","A","2024","通常"
"","","FCC2554","連続体力学"," 1.0","-","-","B","A","2024","通常"
"","","FCC2733","物理学実験I"," 2.0","-","-","A","A","2024","通常"
"","","FCC3101","実験物理学I"," 1.0","-","-","A","A","2024","通常"
"","","FE12153","化学実験"," 1.0","-","-","B","B","2024","通常"
"","","2145133","基礎体育野外運動(秋)"," 0.5","-","-","A","C","2023","通常"
"","","31KC032","English Reading Skills II"," 1.0","-","-","C","C","2023","通常"
"","","31LC032","English Presentation Skills II"," 1.0","-","-","B","C","2023","通常"
"","","6527702","データサイエンス"," 2.0","-","-","A+","C","2023","通常"
"","","9004001","介護等体験の意義"," 1.0","-","-","A","D","2023","集中"
"","","9100221","学習の心理"," 1.0","-","-","C","D","2023","通常"
"","","9200121","現代教育と教育理念"," 1.0","-","-","B","D","2023","通常"
"","","9200421","教育の法と制度"," 1.0","-","-","A+","D","2023","通常"
"","","9200521","学校経営概説"," 1.0","-","-","A","D","2023","通常"
"","","9803161","教職論II"," 1.0","-","-","A+","D","2023","通常"
"","","AC56051","文化科学領域比較文化研究"," 1.0","-","-","A","C","2023","通常"
"","","BC50111","国際学I"," 1.0","-","-","A+","C","2023","通常"
"","","EE11161","地球環境学2"," 1.0","-","-","B","B","2023","通常"
"","","EE11261","地球進化学2"," 1.0","-","-","B","B","2023","通常"
"","","FA014D1","微積分2"," 1.0","-","-","B","C","2023","通常"
"","","FA015D1","微積分3"," 1.0","-","-","C","C","2023","通常"
"","","FA017D1","線形代数2"," 1.0","-","-","A","C","2023","通常"
"","","FA018D1","線形代数3"," 1.0","-","-","A","C","2023","通常"
"","","FCB1281","力学3"," 1.0","-","-","A+","B","2023","通常"
"","","FCB1301","電磁気学1"," 1.0","-","-","A","B","2023","通常"
"","","FCB1351","電磁気学2"," 1.0","-","-","A+","B","2023","通常"
"","","FCB1391","電磁気学3"," 1.0","-","-","A+","B","2023","通常"
"","","FCC2202","物理学入門"," 1.0","-","-","A+","A","2023","通常"
"","","FE11281","化学2"," 1.0","-","-","A","B","2023","通常"
"","","FE11291","化学3"," 1.0","-","-","C","B","2023","通常"
"","","FG16011","宇宙工学"," 1.0","-","-","A","C","2023","通常"
"","","1130122","ファーストイヤーセミナー"," 1.0","-","-","P","C","2023","通常"
"","","1226181","ダイバーシティ&インクルージョン入門"," 1.0","-","-","A","C","2023","通常"
"","","1228411","学問への誘い"," 1.0","-","-","P","C","2023","通常"
"","","2103123","基礎体育インラインスケート(春)"," 0.5","-","-","A","C","2023","通常"
"","","31HC032","English Reading Skills I"," 1.0","-","-","B","C","2023","通常"
"","","31JC032","English Presentation Skills I"," 1.0","-","-","A+","C","2023","通常"
"","","6112101","情報リテラシー(講義)"," 1.0","-","-","A","C","2023","通常"
"","","6427802","情報リテラシー(演習)"," 1.0","-","-","A","C","2023","通常"
"","","9100121","こころの発達"," 1.0","-","-","B","D","2023","通常"
"","","9200221","教育史概論"," 1.0","-","-","A","D","2023","通常"
"","","9803211","教職論I"," 1.0","-","-","A+","D","2023","通常"
"","","AE56A31","共生のための人類学"," 1.0","-","-","A+","C","2023","通常"
"","","BB00501","日本国憲法"," 2.0","-","-","B","C","2023","集中"
"","","EB00021","生物学序説"," 1.0","-","-","B","B","2023","通常"
"","","EE11151","地球環境学1"," 1.0","-","-","A","B","2023","通常"
"","","EE11251","地球進化学1"," 1.0","-","-","A","B","2023","通常"
"","","FA011D1","数学リテラシー1"," 1.0","-","-","A","C","2023","通常"
"","","FA012C1","数学リテラシー2"," 1.0","-","-","A","C","2023","通常"
"","","FA013D1","微積分1"," 1.0","-","-","B","C","2023","通常"
"","","FA016D1","線形代数1"," 1.0","-","-","A+","C","2023","通常"
"","","FBA1451","数学概論"," 1.0","-","-","P","B","2023","通常"
"","","FCB1201","力学1"," 1.0","-","-","A+","B","2023","通常"
"","","FCB1261","力学2"," 1.0","-","-","A+","B","2023","通常"
"","","FCB1401","物理学概論"," 1.0","-","-","P","B","2023","通常"
"","","FE11161","化学概論"," 1.0","-","-","P","B","2023","通常"
"","","FE11271","化学1"," 1.0","-","-","A","B","2023","通常"
"","","FH61151","都市計画入門"," 1.0","-","-","A","C","2023","通常"
