学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,2316313,発展体育ジョグ&ウォーク(秋)," 1.0",-,-,履修中,C,2025,通常
,,FH27091,ネットワーク科学," 2.0",-,-,B,A,2025,通常
,,FH33012,情報技術演習," 2.0",-,-,A,A,2025,通常
,,FH33021,計算機科学," 2.0",-,-,A+,A,2025,通常
,,FH33071,データ解析," 2.0",-,-,A,A,2025,通常
,,FH33081,経営と機械学習," 2.0",-,-,A,A,2025,通常
,,FH48031,地域経営・行政論," 2.0",-,-,A,A,2025,通常
,,FH48051,都市解析," 2.0",-,-,A,A,2025,通常
,,FH48061,環境政策論," 2.0",-,-,A,A,2025,通常
,,1406011,学校を考える," 1.0",-,-,A,C,2025,通常
,,1420014,デジタルクリエイティブ基礎," 1.0",-,-,B,C,2025,通常
,,FH26061,計量時系列分析," 2.0",-,-,B,A,2025,通常
,,FH26071,日本経済論," 2.0",-,-,A+,A,2025,集中
,,FH27031,国際金融論," 2.0",-,-,A,A,2025,通常
,,FH32041,ファイナンス," 2.0",-,-,A+,A,2025,通常
,,FH33061,情報ネットワーク," 2.0",-,-,A,A,2025,通常
,,FH47034,都市環境評価論," 2.0",-,-,B,A,2025,通常
,,FH48041,政策・公共事業評価," 2.0",-,-,B,A,2025,通常
,,2213213,応用体育サッカー(秋)," 0.5",-,-,A,C,2024,通常
,,8310201,スポーツが変われば、大学が変わる," 1.0",-,-,A+,C,2024,通常
,,AC56041,表現文化領域比較文化研究," 1.0",-,-,B,C,2024,通常
,,BC50111,国際学I," 1.0",-,-,A+,C,2024,通常
,,FH24021,ゲーム論," 2.0",-,-,B,A,2024,通常
,,FH26031,マクロ計量分析," 2.0",-,-,B,A,2024,通常
,,FH26041,金融論," 2.0",-,-,A+,A,2024,通常
,,FH26051,金融リスク管理論," 2.0",-,-,C,A,2024,通常
,,FH27081,マクロ経済学," 2.0",-,-,C,A,2024,通常
,,FH34101,数理統計学," 2.0",-,-,A,A,2024,通常
,,FH46041,都市緑地計画," 2.0",-,-,B,A,2024,通常
,,FH60341,社会工学英語," 2.0",-,-,A+,B,2024,通常
,,2213203,応用体育サッカー(春)," 0.5",-,-,A,C,2024,通常
,,37H2012,基礎韓国語AI," 1.0",-,-,A,C,2024,通常
,,CC21211,臨床心理学概論," 2.0",-,-,A,C,2024,通常
,,FG16051,工学システム概論," 1.0",-,-,A+,C,2024,通常
,,FH24012,戦略行動システム演習," 2.0",-,-,A,A,2024,通常
,,FH24044,進化ゲーム論," 2.0",-,-,B,A,2024,通常
,,FH24071,経済行動論," 2.0",-,-,B,A,2024,通常
,,FH24101,ミクロ経済学," 2.0",-,-,B,A,2024,通常
,,FH25011,社会経済特別講義I(社会経済データ分析入門)," 1.0",-,-,A+,A,2024,集中
,,FH25031,社会経済特別講義III(脳と社会)," 1.0",-,-,A,A,2024,集中
,,FH26012,計量分析システム演習," 2.0",-,-,A+,A,2024,通常
,,FH26021,計量経済学," 2.0",-,-,A,A,2024,通常
,,FH46021,住環境計画概論," 2.0",-,-,A,A,2024,通常
,,FH46051,現代まちづくり論," 2.0",-,-,A+,A,2024,通常
,,FH60012,社会工学演習," 3.0",-,-,B,B,2024,通常
,,HB21141,行動生理学の基礎," 1.0",-,-,A,C,2024,通常
,,HB31131,基礎医学研究の最前線," 1.0",-,-,B,C,2024,通常
,,W160531,スポーツの技術を人文社会科学から考える," 1.0",-,-,A,C,2024,通常
,,2113133,基礎体育サッカー(秋)," 0.5",-,-,A,C,2023,通常
,,31KB052,English Reading Skills II," 1.0",-,-,A,C,2023,通常
,,31LB052,English Presentation Skills II," 1.0",-,-,A+,C,2023,通常
,,36K2012,基礎スペイン語AII," 1.0",-,-,A+,C,2023,通常
,,36L2012,基礎スペイン語BII," 1.0",-,-,A+,C,2023,通常
,,6523102,データサイエンス," 2.0",-,-,A,C,2023,通常
,,CA10061,障害科学II," 2.0",-,-,A+,C,2023,通常
,,CA10201,人間学Ⅱ," 1.0",-,-,P,C,2023,通常
,,FA01451,微積分2," 1.0",-,-,A+,B,2023,通常
,,FA01551,微積分3," 1.0",-,-,A+,B,2023,通常
,,FA01751,線形代数2," 1.0",-,-,B,B,2023,通常
,,FA01851,線形代数3," 1.0",-,-,B,B,2023,通常
,,FH60484,プログラミング入門A," 2.0",-,-,A,B,2023,通常
,,FH60584,プログラミング入門B," 1.0",-,-,A,B,2023,通常
,,FH60821,統計学," 2.0",-,-,A+,B,2023,通常
,,FH61121,経済学の実証," 1.0",-,-,A,B,2023,通常
,,FH61141,社会と最適化," 1.0",-,-,A,B,2023,通常
,,FH61161,都市数理," 1.0",-,-,A,B,2023,通常
,,HC30071,看護生命倫理," 1.0",-,-,A,C,2023,通常
,,1117102,ファーストイヤーセミナー," 1.0",-,-,P,C,2023,通常
,,1226181,ダイバーシティ&インクルージョン入門," 1.0",-,-,A+,C,2023,通常
,,1227511,学問への誘い," 1.0",-,-,P,C,2023,通常
,,2116143,基礎体育ジョグ&ウォーク(春)," 0.5",-,-,A,C,2023,通常
,,31HB052,English Reading Skills I," 1.0",-,-,A,C,2023,通常
,,31JB052,English Presentation Skills I," 1.0",-,-,B,C,2023,通常
,,36H2012,基礎スペイン語AI," 1.0",-,-,A+,C,2023,通常
,,36J2022,基礎スペイン語BI," 1.0",-,-,A+,C,2023,通常
,,6123101,情報リテラシー(講義)," 1.0",-,-,A,C,2023,通常
,,6423102,情報リテラシー(演習)," 1.0",-,-,A+,C,2023,通常
,,BC50121,国際学II," 1.0",-,-,A,C,2023,通常
,,BC50141,国際学IV," 1.0",-,-,B,C,2023,通常
,,CA10051,障害科学I," 2.0",-,-,A+,C,2023,通常
,,FA01151,数学リテラシー1," 1.0",-,-,A,B,2023,通常
,,FA01251,数学リテラシー2," 1.0",-,-,A,B,2023,通常
,,FA01351,微積分1," 1.0",-,-,B,B,2023,通常
,,FA01651,線形代数1," 1.0",-,-,A,B,2023,通常
,,FBA1451,数学概論," 1.0",-,-,P,C,2023,通常
,,FH61111,経済学の数理," 1.0",-,-,A,B,2023,通常
,,FH61131,会計と経営," 1.0",-,-,A,B,2023,通常
