学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,2245233,応用体育野外運動(秋)," 0.5",-,-,A,C,2025,通常
,,BC50111,国際学I," 1.0",-,-,A+,C,2025,通常
,,EC13122,専門語学(英語)I," 1.0",-,-,A+,A,2025,通常
,,EC21051,作物生産利用学," 2.0",-,-,A,A,2025,通常
,,EC22071,植物機能化学," 2.0",-,-,A,A,2025,通常
,,EC22111,基礎生物化学工学," 2.0",-,-,A,A,2025,通常
,,EC22141,酵素化学," 1.0",-,-,履修中,A,2025,通常
,,EC23041,材料力学," 2.0",-,-,A+,A,2025,通常
,,EC23221,熱・物質移動の科学II," 1.0",-,-,A,A,2025,通常
,,EC23241,土の物理学II," 1.0",-,-,A,A,2025,通常
,,EC23261,流れの科学II," 1.0",-,-,A+,A,2025,通常
,,EC25031,分析化学," 2.0",-,-,A+,A,2025,通常
,,EC25051,分子生物学," 2.0",-,-,A+,A,2025,通常
,,EC41163,国際農業研修VI," 2.0",履修中,履修中,履修中,A,2025,通常
,,2245223,応用体育野外運動(春)," 0.5",-,-,A,C,2025,通常
,,EC12371,統計学入門," 1.0",-,-,A+,B,2025,通常
,,EC13112,専門語学(英語)I," 1.0",-,-,B,A,2025,通常
,,EC21011,植物生理学," 2.0",-,-,A+,A,2025,通常
,,EC22131,食品バイオテクノロジー," 1.0",-,-,A+,A,2025,通常
,,EC23011,実用解析I," 1.0",-,-,B,A,2025,通常
,,EC23133,環境工学基礎実験," 1.0",-,-,A,A,2025,通常
,,EC23211,熱・物質移動の科学I," 1.0",-,-,A,A,2025,通常
,,EC23231,土の物理学I," 1.0",-,-,A,A,2025,通常
,,EC23251,流れの科学I," 1.0",-,-,A+,A,2025,通常
,,EC24132,統計学基礎演習," 1.0",-,-,A+,A,2025,通常
,,EC25011,生態学," 2.0",-,-,B,A,2025,通常
,,EC25013,農林生物学基礎実験," 1.0",-,-,B,A,2025,通常
,,EC25021,生化学," 2.0",-,-,A,A,2025,通常
,,EC25041,有機化学," 2.0",-,-,A+,A,2025,通常
,,EC25153,分析化学基礎実験," 2.0",-,-,A,A,2025,集中
,,EC35061,サステナビリティマネジメント論," 1.0",-,-,C,A,2025,集中
,,EC41023,国際農業研修II," 2.0",-,-,P,A,2025,通常
,,1221011,科学的根拠にもとづいた最新の健康教育," 1.0",-,-,A+,C,2024,通常
,,2141133,基礎体育フラッグフットボール(秋)," 0.5",-,-,A+,C,2024,通常
,,31KG022,English Reading Skills II," 1.0",-,-,A,C,2024,通常
,,31LG022,English Presentation Skills II," 1.0",-,-,A,C,2024,通常
,,5103011,国語I," 1.0",-,-,B,C,2024,通常
,,6510102,データサイエンス," 2.0",-,-,A+,C,2024,通常
,,BC50131,国際学III," 1.0",-,-,A+,C,2024,通常
,,CA10201,人間学Ⅱ," 1.0",-,-,P,C,2024,通常
,,EC11212,生物資源科学演習," 1.0",-,-,A,B,2024,通常
,,EC12061,資源生物学," 1.0",-,-,A,B,2024,通常
,,EC12131,化学," 3.0",A+,A+,A+,B,2024,通常
,,EC12163,化学実験," 1.0",-,-,A,B,2024,通常
,,EC12171,物理学," 3.0",A,-,A,B,2024,通常
,,EC12173,生物学実験," 1.0",-,-,A,B,2024,通常
,,EC12301,生物資源の開発・生産と持続利用," 1.0",-,-,A+,B,2024,通常
,,EC12331,基礎数学," 3.0",A,A+,A+,B,2024,通常
,,EC12401,生物資源と環境," 1.0",-,-,A+,B,2024,通常
,,EC12501,生物資源としての遺伝子とゲノム," 1.0",-,-,A+,B,2024,通常
,,1110102,ファーストイヤーセミナー," 1.0",-,-,P,C,2024,通常
,,1227291,学問への誘い," 1.0",-,-,P,C,2024,通常
,,2107163,基礎体育空手(春)," 0.5",-,-,A,C,2024,通常
,,31HG022,English Reading Skills I," 1.0",-,-,A+,C,2024,通常
,,31JG022,English Presentation Skills I," 1.0",-,-,A+,C,2024,通常
,,36H6012,基礎スペイン語AI," 1.0",-,-,A+,C,2024,通常
,,36J6012,基礎スペイン語BI," 1.0",-,-,A+,C,2024,通常
,,6110101,情報リテラシー(講義)," 1.0",-,-,A,C,2024,通常
,,6410102,情報リテラシー(演習)," 1.0",-,-,A,C,2024,通常
,,AC56031,フィールド文化領域比較文化研究," 1.0",-,-,B,C,2024,通常
,,BC50121,国際学II," 1.0",-,-,A,C,2024,通常
,,BC50141,国際学IV," 1.0",-,-,A,C,2024,通常
,,CA10051,障害科学I," 2.0",-,-,A+,C,2024,通常
,,EC12153,生物資源フィールド学実習," 1.0",-,-,P,B,2024,通常
,,EC12201,生物資源学にみる食品科学・技術の最前線," 1.0",-,-,A,B,2024,通常
,,EC12251,経済学Ⅰ," 1.0",-,-,A,B,2024,通常
,,EE11151,地球環境学1," 1.0",-,-,A,B,2024,通常
,,HB21141,行動生理学の基礎," 1.0",-,-,A+,C,2024,通常
