学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,2221233,応用体育ソフトボール(秋)," 0.5",-,-,A,C,2025,通常
,,9301011,道徳教育II," 1.0",-,-,A,C,2025,通常
,,9433014,英語科教育基礎論b," 1.0",-,-,B,C,2025,通常
,,9434034,中等英語科教育法Ib," 1.0",-,-,B,C,2025,通常
,,9705001,特別活動の理論と実践," 1.0",-,-,履修中,C,2025,集中
,,9807321,総合的な学習の時間の指導法," 1.0",-,-,B,C,2025,集中
,,AB95A21,英語文法論・統語論(1)-b," 1.0",-,-,A,C,2025,通常
,,AC50B01,英語圏文学論I," 1.0",-,-,B,C,2025,通常
,,BC11051,現代中国研究," 2.0",-,-,A,A,2025,通常
,,BC11731,行政学I," 2.0",-,-,A,A,2025,通常
,,BC12291,Social Anthropology(社会人類学)," 2.0",-,-,履修中,A,2025,集中
,,BC12434,情報科学II," 3.0",-,-,履修中,A,2025,通常
,,BC12961,国際農業開発論," 2.0",-,-,A,A,2025,通常
,,BC51124,数理科学II," 2.0",-,-,A,B,2025,通常
,,BC51334,English Discussion Seminar (C)," 2.0",-,-,A,B,2025,通常
,,CE28141,学習障害概論," 1.0",-,-,A,C,2025,通常
,,GE40501,情報メディアの活用," 2.0",-,-,D,C,2025,通常
,,2221223,応用体育ソフトボール(春)," 0.5",-,-,A+,C,2025,通常
,,3451212,中国語圏の言語と文化A," 1.0",-,-,A+,C,2025,通常
,,9301001,道徳教育I," 1.0",-,-,A,C,2025,通常
,,9433004,英語科教育基礎論a," 1.0",-,-,A,C,2025,通常
,,9434024,中等英語科教育法Ia," 1.0",-,-,B,C,2025,通常
,,AB95A11,英語文法論・統語論(1)-a," 1.0",-,-,B,C,2025,通常
,,BB00601,日本国憲法," 2.0",-,-,B,C,2025,集中
,,BB41691,年金制度と資産運用の基礎（三井住友信託銀行寄付講座）," 1.0",-,-,B,C,2025,通常
,,BC11861,ミクロ経済学," 2.0",-,-,B,A,2025,通常
,,BC12201,開発人類学," 2.0",-,-,B,A,2025,通常
,,BC12671,ヒューマンインタフェース," 2.0",-,-,A,A,2025,通常
,,BC12831,都市計画の歴史," 2.0",-,-,A,A,2025,通常
,,BC50141,国際学IV," 1.0",-,-,A,B,2025,通常
,,BC51011,国際関係論," 2.0",-,-,B,B,2025,通常
,,BC51134,情報科学I," 2.0",-,-,A+,B,2025,通常
,,BC51584,English Debate," 2.0",-,-,B,B,2025,通常
,,1226051,筑波大学特別講義―大学と学問―," 1.0",-,-,B,C,2024,通常
,,2122193,基礎体育卓球(秋)," 0.5",-,-,A+,C,2024,通常
,,31KB032,English Reading Skills II," 1.0",-,-,A,C,2024,通常
,,31LB032,English Presentation Skills II," 1.0",-,-,A,C,2024,通常
,,34K2012,基礎中国語AII," 1.0",-,-,A+,C,2024,通常
,,34L2012,基礎中国語BII," 1.0",-,-,A,C,2024,通常
,,6527102,データサイエンス," 2.0",-,-,A,C,2024,通常
,,9004001,介護等体験の意義," 1.0",-,-,A,C,2024,集中
,,9100111,こころの発達," 1.0",-,-,A+,C,2024,通常
,,9100211,学習の心理," 1.0",-,-,B,C,2024,通常
