"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"","","2223273","応用体育ダンス(秋)"," 0.5","-","-","A","C","2025","通常"
"","","FF15514","解析力学A"," 1.0","-","-","B","B","2025","通常"
"","","FF15534","解析力学B"," 1.0","-","-","履修中","B","2025","通常"
"","","FF15554","アナログ電子回路"," 1.0","-","-","C","B","2025","通常"
"","","FF15574","統計学"," 1.0","-","-","B","B","2025","通常"
"","","FF15594","応用理工学情報処理"," 2.0","-","-","A+","B","2025","通常"
"","","FF16111","応用数学I"," 3.0","-","-","履修中","A","2025","通常"
"","","FF16401","材料物性工学概論"," 1.0","-","-","A+","A","2025","通常"
"","","FF16801","分子工学概論"," 1.0","-","-","A","A","2025","通常"
"","","FF18644","電磁気学C"," 1.0","-","-","A","B","2025","通常"
"","","FF18704","解析学C"," 1.0","-","-","C","B","2025","通常"
"","","FF18744","線形代数B"," 1.0","-","-","A","B","2025","通常"
"","","FF18771","化学B"," 1.0","-","-","B","B","2025","通常"
"","","FF19313","応用理工物理学実験"," 3.0","-","-","履修中","B","2025","通常"
"","","1425021","スポーツ芸術表現学"," 1.0","-","-","B","C","2025","通常"
"","","2223263","応用体育ダンス(春)"," 0.5","-","-","A","C","2025","通常"
"","","FF15504","電気回路"," 2.0","-","-","B","B","2025","通常"
"","","FF15564","確率論"," 1.0","-","-","B","B","2025","通常"
"","","FF16301","先端科学・工学概論"," 1.0","-","-","A","A","2025","通常"
"","","FF16711","計測実験学"," 1.0","-","-","A+","A","2025","通常"
"","","FF16901","応用物理工学概論"," 1.0","-","-","B","A","2025","通常"
"","","FF18604","電磁気学A"," 1.0","-","-","A+","B","2025","通常"
"","","FF18624","電磁気学B"," 1.0","-","-","A+","B","2025","通常"
"","","FF18664","解析学A"," 1.0","-","-","B","B","2025","通常"
"","","FF18684","解析学B"," 1.0","-","-","A","B","2025","通常"
"","","FF18724","線形代数A"," 1.0","-","-","A","B","2025","通常"
"","","FF18761","化学A"," 1.0","-","-","B","B","2025","通常"
"","","FF18784","力学A"," 1.0","-","-","A+","B","2025","通常"
"","","FF18804","熱力学"," 2.0","-","-","B","B","2025","通常"
"","","FF19203","応用理工化学実験"," 3.0","-","-","A+","B","2025","通常"
"","","FF19401","基礎実験学"," 1.0","-","-","A+","A","2025","通常"
"","","2158133","基礎体育アスレティックトレーニング(秋)"," 0.5","-","-","A","C","2024","通常"
"","","31KA012","English Reading Skills II"," 1.0","-","-","A","C","2024","通常"
"","","32K1012","基礎ドイツ語AII"," 1.0","-","-","A","C","2024","通常"
"","","32L1012","基礎ドイツ語BII"," 1.0","-","-","A","C","2024","通常"
"","","6515202","データサイエンス"," 2.0","-","-","A","C","2024","通常"
"","","8100102","障害学生支援技術"," 1.0","-","-","A","C","2024","通常"
"","","AB50A11","哲学・宗教学入門"," 1.0","-","-","B","C","2024","通常"
"","","FA01411","微積分2"," 1.0","-","-","A+","B","2024","通常"
"","","FA01511","微積分3"," 1.0","-","-","A+","B","2024","通常"
"","","FA01711","線形代数2"," 1.0","-","-","A","B","2024","通常"
"","","FA01811","線形代数3"," 1.0","-","-","B","B","2024","通常"
"","","FCB1291","力学3"," 1.0","-","-","A+","B","2024","通常"
"","","FCB1321","電磁気学1"," 1.0","-","-","A","B","2024","通常"
"","","FCB1361","電磁気学2"," 1.0","-","-","A","B","2024","通常"
"","","FCB1381","電磁気学3"," 1.0","-","-","A+","B","2024","通常"
"","","FE11171","化学1"," 1.0","-","-","A","B","2024","通常"
"","","FE11291","化学3"," 1.0","-","-","A+","B","2024","通常"
"","","GA10201","知的財産概論"," 2.0","-","-","A","C","2024","通常"
"","","1115202","ファーストイヤーセミナー"," 1.0","-","-","P","C","2024","通常"
"","","1222021","セルフマネジメント・ケア"," 1.0","-","-","B","C","2024","通常"
"","","1227441","学問への誘い"," 1.0","-","-","P","C","2024","通常"
"","","2145143","基礎体育野外運動(春)"," 0.5","-","-","A","C","2024","通常"
"","","31HA012","English Reading Skills I"," 1.0","-","-","A","C","2024","通常"
"","","32H1012","基礎ドイツ語AI"," 1.0","-","-","A+","C","2024","通常"
"","","32J1012","基礎ドイツ語BI"," 1.0","-","-","A+","C","2024","通常"
"","","6115101","情報リテラシー(講義)"," 1.0","-","-","A","C","2024","通常"
"","","6415202","情報リテラシー(演習)"," 1.0","-","-","A+","C","2024","通常"
"","","8050001","TSUKUBAポスト・コロナ学"," 1.0","-","-","A+","C","2024","通常"
"","","BC50121","国際学II"," 1.0","-","-","A","C","2024","通常"
"","","CA10051","障害科学I"," 2.0","-","-","A+","C","2024","通常"
"","","EB00021","生物学序説"," 1.0","-","-","B","C","2024","通常"
"","","FA01111","数学リテラシー1"," 1.0","-","-","A+","B","2024","通常"
"","","FA01211","数学リテラシー2"," 1.0","-","-","A+","B","2024","通常"
"","","FA01311","微積分1"," 1.0","-","-","A","B","2024","通常"
"","","FA01611","線形代数1"," 1.0","-","-","A","B","2024","通常"
"","","FCB1201","力学1"," 1.0","-","-","A","B","2024","通常"
"","","FCB1241","力学2"," 1.0","-","-","B","B","2024","通常"
"","","FCB1401","物理学概論"," 1.0","-","-","P","C","2024","通常"
"","","FE11281","化学2"," 1.0","-","-","C","B","2024","通常"
"","","FF17011","応用理工学概論"," 1.0","-","-","P","B","2024","通常"
"","","GA13401","情報メディア入門"," 1.0","-","-","A","C","2024","通常"
"","","GA14111","知識情報概論"," 1.0","-","-","A+","C","2024","通常"
"","","","English Presentation Skills I"," 1.0","-","-","認","C","2024",""
"","","","English Presentation Skills II"," 1.0","-","-","認","C","2024",""
