学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,2223273,応用体育ダンス(秋)," 0.5",-,-,A,C,2025,通常
,,FG10724,線形代数総論B," 2.0",履修中,履修中,履修中,B,2025,通常
,,FG10784,複素解析," 2.0",-,-,D,B,2025,通常
,,FG12011,バイオシステム基礎," 2.0",-,-,A,A,2025,通常
,,FG16011,宇宙工学," 1.0",-,-,A,A,2025,通常
,,FG19113,工学システム基礎実験B," 2.0",-,-,履修中,A,2025,通常
,,FG20204,プログラミング序論C," 2.0",-,-,A+,A,2025,通常
,,FG20214,プログラミング序論D," 1.0",-,-,履修中,A,2025,通常
,,FG20222,専門英語B," 1.0",-,-,A+,A,2025,通常
,,FG21261,機械設計," 2.0",-,-,履修中,A,2025,通常
,,FG22291,メカトロニクス機構解析," 2.0",-,-,B,A,2025,通常
,,FG24221,論理回路," 2.0",-,-,B,A,2025,通常
,,FG24491,コンピュータとネットワーク," 2.0",-,-,A+,A,2025,通常
,,2223263,応用体育ダンス(春)," 0.5",-,-,A,C,2025,通常
,,FG10651,工学システム原論," 1.0",-,-,A,B,2025,通常
,,FG10704,線形代数総論A," 1.0",-,-,D,B,2025,通常
,,FG10744,解析学総論," 1.0",-,-,B,B,2025,通常
,,FG10764,常微分方程式," 2.0",-,-,B,B,2025,通常
,,FG10814,力学総論," 1.0",-,-,C,B,2025,通常
,,FG10834,電磁気学総論," 1.0",-,-,B,B,2025,通常
,,FG10851,流体力学基礎," 1.0",-,-,B,B,2025,通常
,,FG10864,材料力学基礎," 1.0",-,-,A,B,2025,通常
,,FG10874,プログラミング序論A," 2.0",-,-,C,B,2025,通常
,,FG10904,プログラミング序論B," 1.0",-,-,A+,B,2025,通常
,,FG10911,熱力学基礎," 1.0",-,-,A+,B,2025,通常
,,FG17031,確率統計," 2.0",-,-,D,A,2025,通常
,,FG17061,応用数学A," 2.0",-,-,B,A,2025,通常
,,FG18102,専門英語A," 1.0",-,-,B,A,2025,通常
,,FG19103,工学システム基礎実験A," 2.0",-,-,B,A,2025,通常
,,1217011,実践入門！AI・データサイエンス～基礎と展開～," 1.0",-,-,B,C,2024,通常
,,1224021,おもてなし学―グローバルマナーと異文化コミュニケーション―," 1.0",-,-,A,C,2024,通常
,,2125133,基礎体育テニス(秋)," 0.5",-,-,A,C,2024,通常
,,31KC032,English Reading Skills II," 1.0",-,-,A,C,2024,通常
,,31LC032,English Presentation Skills II," 1.0",-,-,A+,C,2024,通常
,,6527702,データサイエンス," 2.0",-,-,B,C,2024,通常
,,FA014C1,微積分2," 1.0",-,-,A,C,2024,通常
,,FA015C1,微積分3," 1.0",-,-,B,C,2024,通常
,,FA017C1,線形代数2," 1.0",-,-,A,C,2024,通常
,,FA018C1,線形代数3," 1.0",-,-,B,C,2024,通常
,,FCB1281,力学3," 1.0",-,-,A,C,2024,通常
,,FCB1301,電磁気学1," 1.0",-,-,A,C,2024,通常
,,FCB1351,電磁気学2," 1.0",-,-,B,C,2024,通常
,,FCB1391,電磁気学3," 1.0",-,-,A+,C,2024,通常
,,FE11271,化学1," 1.0",-,-,B,C,2024,通常
,,FE11291,化学3," 1.0",-,-,A+,C,2024,通常
,,GA13501,コンテンツ入門," 2.0",-,-,A+,C,2024,通常
,,1130142,ファーストイヤーセミナー," 1.0",-,-,P,C,2024,通常
,,1228431,学問への誘い," 1.0",-,-,P,C,2024,通常
,,2158143,基礎体育アスレティックトレーニング（春）," 0.5",-,-,A,C,2024,通常
,,31HC032,English Reading Skills I," 1.0",-,-,B,C,2024,通常
,,31JC032,English Presentation Skills I," 1.0",-,-,A,C,2024,通常
,,34H3012,基礎中国語AI," 1.0",-,-,C,C,2024,通常
,,34J3012,基礎中国語BI," 1.0",-,-,A,C,2024,通常
,,6127601,情報リテラシー(講義)," 1.0",-,-,B,C,2024,通常
,,6427802,情報リテラシー(演習)," 1.0",-,-,A,C,2024,通常
,,BC50121,国際学II," 1.0",-,-,A+,C,2024,通常
,,CA10051,障害科学I," 2.0",-,-,A+,C,2024,通常
,,EB00021,生物学序説," 1.0",-,-,B,C,2024,通常
,,EE11151,地球環境学1," 1.0",-,-,A,C,2024,通常
,,EE11251,地球進化学1," 1.0",-,-,B,C,2024,通常
,,FA011D1,数学リテラシー1," 1.0",-,-,B,C,2024,通常
,,FA012C1,数学リテラシー2," 1.0",-,-,A+,C,2024,通常
,,FA013C1,微積分1," 1.0",-,-,B,C,2024,通常
,,FA016C1,線形代数1," 1.0",-,-,A+,C,2024,通常
,,FCB1231,力学1," 1.0",-,-,A,C,2024,通常
,,FCB1261,力学2," 1.0",-,-,A+,C,2024,通常
,,FCB1401,物理学概論," 1.0",-,-,P,C,2024,通常
,,FE11281,化学2," 1.0",-,-,C,C,2024,通常
,,FF17011,応用理工学概論," 1.0",-,-,P,C,2024,通常
,,FG16051,工学システム概論," 1.0",-,-,A,C,2024,通常
