学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,AE53B41,日本語教育概論," 1.0",-,-,A+,C,2025,通常
,,CC24041,青年心理学," 2.0",-,-,B,C,2025,通常
,,HE21001,医学史," 1.0",-,-,A+,B,2025,通常
,,HE22021,計量生物学," 1.0",-,-,履修中,B,2025,通常
,,HE23053,キャリアデザイン研修," 1.0",-,-,履修中,B,2025,通常
,,HE30031,病態検査学," 3.0",-,-,D,A,2025,集中
,,HE30033,臨床薬理学実習," 1.0",-,-,履修中,A,2025,通常
,,HE33043,病原微生物学実習I," 1.0",-,-,C,A,2025,集中
,,HE33063,病原微生物学実習II," 1.0",-,-,B,A,2025,集中
,,HE34004,神経科学特論," 1.0",-,-,履修中,A,2025,通常
,,HE35002,生体機能診断ワークショップ," 1.0",-,-,履修中,A,2025,集中
,,HE36161,ためになる血液学," 1.0",-,-,履修中,A,2025,通常
,,HE36211,検査医学とスポーツ医学の密接な接点," 1.0",-,-,A,A,2025,通常
,,HE39505,医療安全管理学," 2.0",-,-,A+,A,2025,通常
,,HE40061,医科学専門語学 I," 3.0",-,-,履修中,A,2025,集中
,,HE40081,医療科学特論I," 1.0",-,-,B,A,2025,通常
,,HE40102,医科学演習," 1.0",-,-,履修中,A,2025,通常
,,HE40112,研究演習," 2.0",-,-,履修中,5Y,2025,通常
,,HE41181,健幸医科学グループワーク," 1.0",-,-,履修中,A,2025,通常
,,HE30021,臨床薬理学," 1.0",-,-,B,A,2025,通常
,,HE31013,病理組織学実習," 2.0",-,-,D,A,2025,集中
,,HE31021,細胞検査学," 2.0",-,-,D,A,2025,集中
,,HE31043,血液検査学実習," 1.0",-,-,C,A,2025,集中
,,HE32021,凝固・線溶学," 1.0",-,-,C,A,2025,通常
,,HE32053,遺伝子検査学実習," 1.0",-,-,A,A,2025,集中
,,HE33061,輸血学," 1.0",-,-,履修中,A,2025,集中
,,HE34001,生理機能検査学," 4.0",-,-,C,A,2025,集中
,,HE34101,先端脳科学," 1.0",-,-,A,A,2025,通常
,,HE34131,ゲノム医科学," 1.0",-,-,B,A,2025,通常
,,HE35011,検査情報管理学," 1.0",-,-,B,A,2025,通常
,,HE36111,細胞・発生工学," 1.0",-,-,C,A,2025,通常
,,HE36151,胚操作・動物実験法(実験動物学)," 1.0",-,-,C,A,2025,通常
,,HE36191,バイオインフォマティクス," 1.0",-,-,A,A,2025,通常
,,HE36201,自己免疫疾患・アレルギー疾患の病態と臨床," 1.0",-,-,B,A,2025,通常
,,HE37101,医療工学," 1.0",-,-,B,A,2025,通常
,,HE37141,人工臓器学," 1.0",-,-,B,A,2025,集中
,,2213253,応用体育サッカー(秋)," 0.5",-,-,B,C,2024,通常
,,HB21221,医科分子生物学," 2.0",-,-,C,B,2024,通常
,,HE13001,医療科学キャリアセミナー," 1.0",-,-,P,C,2024,通常
,,HE20033,人体機能学実習," 1.0",-,-,B,B,2024,集中
,,HE23021,医用工学," 1.0",-,-,D,B,2024,通常
,,HE23033,医用工学実習," 1.0",-,-,C,B,2024,通常
,,HE24221,医科学英語論文講読の基礎," 1.0",-,-,C,B,2024,通常
,,HE30001,臨床病態学," 2.0",-,-,C,A,2024,集中
,,HE31001,病理組織学," 2.0",-,-,A,A,2024,通常
,,HE31031,血液検査学," 2.0",-,-,C,A,2024,通常
,,HE32013,生化学成分検査学実習," 2.0",-,-,A,A,2024,通常
,,HE32051,遺伝子検査学," 1.0",-,-,B,A,2024,通常
,,HE32061,RI検査技術学," 1.0",-,-,C,A,2024,通常
,,HE33041,免疫検査学," 2.0",-,-,D,A,2024,通常
,,HE35053,医学検査学実習," 1.0",-,-,B,A,2024,通常
,,HE36121,ためになる内分泌代謝学," 1.0",-,-,A,A,2024,通常
,,HE36161,ためになる血液学," 1.0",-,-,D,A,2024,通常
,,2213243,応用体育サッカー(春)," 0.5",-,-,B,C,2024,通常
,,HB21211,医科生化学," 2.0",-,-,C,B,2024,通常
,,HC21071,人体機能学," 2.0",-,-,B,B,2024,通常
,,HC21081,人体構造学," 2.0",-,-,C,B,2024,通常
,,HE13011,科学実験の基礎," 1.0",-,-,B,C,2024,通常
,,HE20013,人体構造学実習," 1.0",-,-,C,B,2024,集中
,,HE20053,生化学実習," 1.0",-,-,A,B,2024,集中
,,HE20142,イメージング総論," 1.0",-,-,B,B,2024,集中
,,HE21033,微生物学実習," 1.0",-,-,B,B,2024,集中
,,HE21041,基礎医学総論," 2.0",-,-,C,B,2024,通常
,,HE22001,保健衛生論," 2.0",-,-,A,B,2024,通常
,,HE22011,医療法制," 1.0",-,-,C,B,2024,通常
,,HE22031,実践英語(TOEFL対策)," 1.0",-,-,A,B,2024,通常
,,HE22121,医療経済学," 1.0",-,-,C,B,2024,通常
,,HE23041,電磁気学I," 1.0",-,-,B,B,2024,通常
,,HE32002,生化学成分検査学," 3.0",-,-,B,A,2024,通常
,,HE32071,医学物理学概論," 1.0",-,-,C,A,2024,通常
,,HE33001,病原微生物学," 2.0",-,-,C,A,2024,通常
,,HE35061,医学検査学," 1.0",-,-,C,A,2024,通常
,,HE35081,検査機器学," 1.0",-,-,B,A,2024,通常
,,2137133,基礎体育ハンドボール(秋)," 0.5",-,-,A,C,2023,通常
,,31KG112,English Reading Skills II," 1.0",-,-,C,C,2023,通常
,,31LG112,English Presentation Skills II," 1.0",-,-,C,C,2023,通常
,,6527502,データサイエンス," 2.0",-,-,B,C,2023,通常
,,EB00001,生物学序説," 1.0",-,-,B,C,2023,通常
,,EB11131,系統分類・進化学概論," 1.0",-,-,D,C,2023,通常
,,EB11611,生態学概論," 1.0",-,-,C,C,2023,通常
,,EB11721,動物生理学概論," 1.0",-,-,B,C,2023,通常
,,EC12401,生物資源と環境," 1.0",-,-,A,C,2023,通常
,,FA014C1,微積分2," 1.0",-,-,B,C,2023,通常
,,FA017C1,線形代数2," 1.0",-,-,B,C,2023,通常
,,GA12301,システムと情報科学," 1.0",-,-,A,C,2023,通常
,,GA13501,コンテンツ入門," 2.0",-,-,A+,C,2023,通常
,,GA18212,プログラミング入門A," 2.0",-,-,B,C,2023,通常
,,GA18312,プログラミング入門B," 1.0",-,-,C,C,2023,通常
,,HE21061,微生物学A," 2.0",-,-,B,B,2023,集中
,,HE35071,医療科学概論," 1.0",-,-,C,C,2023,通常
,,1130202,ファーストイヤーセミナー," 1.0",-,-,P,C,2023,通常
,,1226041,みんなで創ろう「つくばアクションプロジェクト」," 1.0",-,-,B,C,2023,通常
,,1226181,ダイバーシティ&インクルージョン入門," 1.0",-,-,B,C,2023,通常
,,1228491,学問への誘い," 1.0",-,-,P,C,2023,通常
,,2117123,基礎体育水泳(春)," 0.5",-,-,B,C,2023,通常
,,31HG112,English Reading Skills I," 1.0",-,-,B,C,2023,通常
,,31JG112,English Presentation Skills I," 1.0",-,-,B,C,2023,通常
,,34H1032,基礎中国語AI," 1.0",-,-,D,C,2023,通常
,,34J6012,基礎中国語BI," 1.0",-,-,D,C,2023,通常
,,6124101,情報リテラシー(講義)," 1.0",-,-,B,C,2023,通常
,,6424202,情報リテラシー(演習)," 1.0",-,-,C,C,2023,通常
,,AB50A11,哲学・宗教学入門," 1.0",-,-,D,C,2023,通常
,,EB11311,遺伝学概論," 1.0",-,-,B,C,2023,通常
,,FA011E1,数学リテラシー1," 1.0",-,-,D,C,2023,通常
,,FA012D1,数学リテラシー2," 1.0",-,-,A+,C,2023,通常
,,FA013C1,微積分1," 1.0",-,-,A,C,2023,通常
,,FA016C1,線形代数1," 1.0",-,-,C,C,2023,通常
,,GA12401,情報科学概論," 1.0",-,-,D,C,2023,通常
,,GA13401,情報メディア入門," 1.0",-,-,D,C,2023,通常
,,GA14111,知識情報概論," 1.0",-,-,A+,C,2023,通常
,,GA14201,知識情報システム概説," 1.0",-,-,C,C,2023,通常
,,GA15111,情報数学A," 2.0",-,-,B,C,2023,通常
