"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"","","2213213","応用体育サッカー(秋)"," 0.5","-","-","A","C","2025","通常"
"","","BC50111","国際学I"," 1.0","-","-","A","C","2025","通常"
"","","FH24021","ゲーム論"," 2.0","-","-","履修中","A","2025","通常"
"","","FH26031","マクロ計量分析"," 2.0","-","-","A","A","2025","通常"
"","","FH26041","金融論"," 2.0","-","-","A+","A","2025","通常"
"","","FH27012","公共システム演習"," 2.0","-","-","履修中","A","2025","通常"
"","","FH27081","マクロ経済学"," 2.0","-","-","B","A","2025","通常"
"","","FH27091","ネットワーク科学"," 2.0","-","-","A","A","2025","通常"
"","","FH27101","社会政策"," 2.0","-","-","B","A","2025","通常"
"","","FH33081","経営と機械学習"," 2.0","-","-","A","A","2025","通常"
"","","FH34101","数理統計学"," 2.0","-","-","C","A","2025","通常"
"","","FH60341","社会工学英語"," 2.0","-","-","A+","B","2025","通常"
"","","GE21401","メディア社会学"," 2.0","-","-","履修中","C","2025","通常"
"","","HB21231","スポーツ医学とは?フロントランナーに聞いてみよう!!"," 1.0","-","-","履修中","C","2025","通常"
"","","2213203","応用体育サッカー(春)"," 0.5","-","-","A","C","2025","通常"
"","","AE56A21","共生のための日本語教育"," 1.0","-","-","A+","C","2025","通常"
"","","BB41691","年金制度と資産運用の基礎（三井住友信託銀行寄付講座）"," 1.0","-","-","A","C","2025","通常"
"","","FG16051","工学システム概論"," 1.0","-","-","A","C","2025","通常"
"","","FH24071","経済行動論"," 2.0","-","-","C","A","2025","通常"
"","","FH24101","ミクロ経済学"," 2.0","-","-","B","A","2025","通常"
"","","FH26012","計量分析システム演習"," 2.0","-","-","B","A","2025","通常"
"","","FH32041","ファイナンス"," 2.0","-","-","A","A","2025","通常"
"","","FH32091","生産・品質管理"," 2.0","-","-","B","A","2025","通常"
"","","FH33061","情報ネットワーク"," 2.0","-","-","B","A","2025","通常"
"","","FH34111","離散数学"," 2.0","-","-","D","A","2025","通常"
"","","FH60012","社会工学演習"," 3.0","-","-","B","B","2025","通常"
"","","2111193","基礎体育剣道(秋)"," 0.5","-","-","A","C","2024","通常"
"","","31KB012","English Reading Skills II"," 1.0","-","-","C","C","2024","通常"
"","","31LB012","English Presentation Skills II"," 1.0","-","-","A","C","2024","通常"
"","","6523102","データサイエンス"," 2.0","-","-","A","C","2024","通常"
"","","AE56A11","共生のための社会言語学"," 1.0","-","-","B","C","2024","通常"
"","","CA10201","人間学Ⅱ"," 1.0","-","-","P","C","2024","通常"
"","","FA01451","微積分2"," 1.0","-","-","A+","B","2024","通常"
"","","FA01551","微積分3"," 1.0","-","-","D","B","2024","通常"
"","","FA01751","線形代数2"," 1.0","-","-","A+","B","2024","通常"
"","","FA01851","線形代数3"," 1.0","-","-","C","B","2024","通常"
"","","FH60484","プログラミング入門A"," 2.0","-","-","B","B","2024","通常"
"","","FH60584","プログラミング入門B"," 1.0","-","-","C","B","2024","通常"
"","","FH60821","統計学"," 2.0","-","-","A","B","2024","通常"
"","","FH61121","経済学の実証"," 1.0","-","-","B","B","2024","通常"
"","","FH61141","社会と最適化"," 1.0","-","-","A","B","2024","通常"
"","","FH61161","都市数理"," 1.0","-","-","B","B","2024","通常"
"","","GA12301","システムと情報科学"," 1.0","-","-","C","C","2024","通常"
"","","HE35071","医療科学概論"," 1.0","-","-","C","C","2024","通常"
"","","W160511","スポーツの技術を自然科学から考える"," 1.0","-","-","A","C","2024","通常"
"","","1117202","ファーストイヤーセミナー"," 1.0","-","-","P","C","2024","通常"
"","","1226181","ダイバーシティ&インクルージョン入門"," 1.0","-","-","A+","C","2024","通常"
"","","1227521","学問への誘い"," 1.0","-","-","P","C","2024","通常"
"","","2137183","基礎体育ハンドボール(春)"," 0.5","-","-","A","C","2024","通常"
"","","31HB012","English Reading Skills I"," 1.0","-","-","B","C","2024","通常"
"","","31JB012","English Presentation Skills I"," 1.0","-","-","B","C","2024","通常"
"","","6123101","情報リテラシー(講義)"," 1.0","-","-","B","C","2024","通常"
"","","6423102","情報リテラシー(演習)"," 1.0","-","-","A","C","2024","通常"
"","","AC50E41","文化地理学概論"," 1.0","-","-","A","C","2024","通常"
"","","AE56A31","共生のための人類学"," 1.0","-","-","A+","C","2024","通常"
"","","BC50121","国際学II"," 1.0","-","-","B","C","2024","通常"
"","","FA01151","数学リテラシー1"," 1.0","-","-","A+","B","2024","通常"
"","","FA01251","数学リテラシー2"," 1.0","-","-","A","B","2024","通常"
"","","FA01351","微積分1"," 1.0","-","-","B","B","2024","通常"
"","","FA01651","線形代数1"," 1.0","-","-","A+","B","2024","通常"
"","","FH61111","経済学の数理"," 1.0","-","-","B","B","2024","通常"
"","","FH61131","会計と経営"," 1.0","-","-","A","B","2024","通常"
"","","FH61151","都市計画入門"," 1.0","-","-","B","B","2024","通常"
"","","GA12111","知能と情報科学"," 1.0","-","-","C","C","2024","通常"
"","","GA12201","計算と情報科学"," 1.0","-","-","B","C","2024","通常"
"","","GA12401","情報科学概論"," 1.0","-","-","C","C","2024","通常"
"","","GA14111","知識情報概論"," 1.0","-","-","A+","C","2024","通常"
"","","HC30141","基礎看護学概論"," 1.0","-","-","A","C","2024","通常"
"","","W160531","スポーツの技術を人文社会科学から考える"," 1.0","-","-","B","C","2024","通常"
